"SEMEL_YISHUV","year","alarm","locality","loc","date","distance","alert","month","Pop_Total","district","geometry"
319,2016,1,"עמיר","עמיר",2016-12-06,204.912353855358,1,12,560,"HaZafon",c(35.6207559, 33.1778901)
319,2018,1,"עמיר","עמיר",2018-02-10,204.912353855358,1,2,592,"HaZafon",c(35.6207559, 33.1778901)
319,2019,1,"עמיר","עמיר",2019-05-20,204.912353855358,1,5,584,"HaZafon",c(35.6207559, 33.1778901)
319,2023,1,"עמיר","עמיר",2023-12-08,204.912353855358,1,12,NA,"HaZafon",c(35.6207559, 33.1778901)
320,2014,1,"כפר ורבורג","כפרורבורג",2014-07-29,23.2753092285751,1,7,1070,"HaDarom",c(34.7243919, 31.7192469)
320,2014,1,"כפר ורבורג","כפרורבורג",2014-08-19,23.2753092285751,1,8,1070,"HaDarom",c(34.7243919, 31.7192469)
320,2016,1,"כפר ורבורג","כפרורבורג",2016-09-20,23.2753092285751,1,9,1120,"HaDarom",c(34.7243919, 31.7192469)
320,2019,1,"כפר ורבורג","כפרורבורג",2019-05-05,23.2753092285751,1,5,1143,"HaDarom",c(34.7243919, 31.7192469)
320,2019,1,"כפר ורבורג","כפרורבורג",2019-11-14,23.2753092285751,1,11,1143,"HaDarom",c(34.7243919, 31.7192469)
320,2021,1,"כפר ורבורג","כפרורבורג",2021-05-11,23.2753092285751,1,5,1161,"HaDarom",c(34.7243919, 31.7192469)
320,2023,1,"כפר ורבורג","כפרורבורג",2023-10-07,23.2753092285751,1,10,NA,"HaDarom",c(34.7243919, 31.7192469)
322,2014,1,"בית הלל","ביתהלל",2014-08-25,206.371334096927,1,8,750,"HaZafon",c(35.6037705, 33.2090245)
322,2014,1,"בית הלל","ביתהלל",2014-09-11,206.371334096927,1,9,750,"HaZafon",c(35.6037705, 33.2090245)
322,2016,1,"בית הלל","ביתהלל",2016-12-06,206.371334096927,1,12,790,"HaZafon",c(35.6037705, 33.2090245)
322,2016,1,"בית הלל","ביתהלל",2016-09-20,206.371334096927,1,9,790,"HaZafon",c(35.6037705, 33.2090245)
322,2018,1,"בית הלל","ביתהלל",2018-02-10,206.371334096927,1,2,791,"HaZafon",c(35.6037705, 33.2090245)
322,2019,1,"בית הלל","ביתהלל",2019-05-20,206.371334096927,1,5,775,"HaZafon",c(35.6037705, 33.2090245)
322,2023,1,"בית הלל","ביתהלל",2023-11-21,206.371334096927,1,11,NA,"HaZafon",c(35.6037705, 33.2090245)
322,2023,1,"בית הלל","ביתהלל",2023-10-17,206.371334096927,1,10,NA,"HaZafon",c(35.6037705, 33.2090245)
322,2023,1,"בית הלל","ביתהלל",2023-12-01,206.371334096927,1,12,NA,"HaZafon",c(35.6037705, 33.2090245)
324,2016,1,"שאר ישוב","שארישוב",2016-12-06,210.363033658118,1,12,670,"HaZafon",c(35.6461108, 33.2261512)
324,2016,1,"שאר ישוב","שארישוב",2016-09-20,210.363033658118,1,9,670,"HaZafon",c(35.6461108, 33.2261512)
324,2018,1,"שאר ישוב","שארישוב",2018-02-10,210.363033658118,1,2,667,"HaZafon",c(35.6461108, 33.2261512)
324,2019,1,"שאר ישוב","שארישוב",2019-05-20,210.363033658118,1,5,668,"HaZafon",c(35.6461108, 33.2261512)
324,2019,1,"שאר ישוב","שארישוב",2019-11-19,210.363033658118,1,11,668,"HaZafon",c(35.6461108, 33.2261512)
324,2023,1,"שאר ישוב","שארישוב",2023-12-01,210.363033658118,1,12,NA,"HaZafon",c(35.6461108, 33.2261512)
324,2023,1,"שאר ישוב","שארישוב",2023-10-12,210.363033658118,1,10,NA,"HaZafon",c(35.6461108, 33.2261512)
324,2023,1,"שאר ישוב","שארישוב",2023-11-06,210.363033658118,1,11,NA,"HaZafon",c(35.6461108, 33.2261512)
325,2015,1,"מצובה","מצובה",2015-12-20,174.252747997504,1,12,1120,"HaZafon",c(35.1577706, 33.0627275)
325,2016,1,"מצובה","מצובה",2016-12-06,174.252747997504,1,12,1160,"HaZafon",c(35.1577706, 33.0627275)
325,2016,1,"מצובה","מצובה",2016-09-20,174.252747997504,1,9,1160,"HaZafon",c(35.1577706, 33.0627275)
325,2018,1,"מצובה","מצובה",2018-02-10,174.252747997504,1,2,1170,"HaZafon",c(35.1577706, 33.0627275)
325,2019,1,"מצובה","מצובה",2019-05-20,174.252747997504,1,5,1165,"HaZafon",c(35.1577706, 33.0627275)
325,2021,1,"מצובה","מצובה",2021-07-20,174.252747997504,1,7,1157,"HaZafon",c(35.1577706, 33.0627275)
325,2023,1,"מצובה","מצובה",2023-11-12,174.252747997504,1,11,NA,"HaZafon",c(35.1577706, 33.0627275)
325,2023,1,"מצובה","מצובה",2023-04-06,174.252747997504,1,4,NA,"HaZafon",c(35.1577706, 33.0627275)
325,2023,1,"מצובה","מצובה",2023-10-10,174.252747997504,1,10,NA,"HaZafon",c(35.1577706, 33.0627275)
326,2016,1,"בית יצחק שער חפר","ביתיצחקשערחפר",2016-09-20,88.9779218743613,1,9,2110,"HaMerkaz",c(34.8898236, 32.3334794)
326,2017,1,"בית יצחק שער חפר","ביתיצחקשערחפר",2017-02-07,88.9779218743613,1,2,2112,"HaMerkaz",c(34.8898236, 32.3334794)
326,2021,1,"בית יצחק - שער חפר","ביתיצחקשערחפר",2021-05-11,88.9779218743613,1,5,2144,"HaMerkaz",c(34.8898236, 32.3334794)
327,2014,1,"שדות ים","שדותים",2014-07-28,106.09261053473,1,7,940,"Haifa",c(34.8925865, 32.492799)
327,2016,1,"שדות ים","שדותים",2016-09-20,106.09261053473,1,9,1000,"Haifa",c(34.8925865, 32.492799)
327,2016,1,"שדות ים","שדותים",2016-06-22,106.09261053473,1,6,1000,"Haifa",c(34.8925865, 32.492799)
327,2019,1,"מרכז ימי קיסריה","מרכזימיקיסריה",2019-07-31,106.09261053473,1,7,1096,"Haifa",c(34.89315, 32.492613)
328,2014,1,"עזוז","עזוז",2014-08-24,51.0216349475088,1,8,70,"HaDarom",c(34.4727055, 30.792373)
328,2014,1,"עזוז","עזוז",2014-10-19,51.0216349475088,1,10,70,"HaDarom",c(34.4727055, 30.792373)
328,2014,1,"עזוז","עזוז",2014-07-29,51.0216349475088,1,7,70,"HaDarom",c(34.4727055, 30.792373)
328,2016,1,"עזוז","עזוז",2016-12-13,51.0216349475088,1,12,80,"HaDarom",c(34.4727055, 30.792373)
328,2016,1,"עזוז","עזוז",2016-09-20,51.0216349475088,1,9,80,"HaDarom",c(34.4727055, 30.792373)
328,2017,1,"עזוז","עזוז",2017-11-26,51.0216349475088,1,11,76,"HaDarom",c(34.4727055, 30.792373)
329,2014,1,"שדה נחמיה","שדהנחמיה",2014-07-29,205.787298746099,1,7,1050,"HaZafon",c(35.624589, 33.1882845)
329,2014,1,"שדה נחמיה","שדהנחמיה",2014-08-21,205.787298746099,1,8,1050,"HaZafon",c(35.624589, 33.1882845)
329,2015,1,"שדה נחמיה","שדהנחמיה",2015-04-28,205.787298746099,1,4,1100,"HaZafon",c(35.624589, 33.1882845)
329,2016,1,"שדה נחמיה","שדהנחמיה",2016-09-20,205.787298746099,1,9,1160,"HaZafon",c(35.624589, 33.1882845)
329,2016,1,"שדה נחמיה","שדהנחמיה",2016-12-06,205.787298746099,1,12,1160,"HaZafon",c(35.624589, 33.1882845)
329,2018,1,"שדה נחמיה","שדהנחמיה",2018-02-10,205.787298746099,1,2,1217,"HaZafon",c(35.624589, 33.1882845)
329,2019,1,"שדה נחמיה","שדהנחמיה",2019-05-20,205.787298746099,1,5,1235,"HaZafon",c(35.624589, 33.1882845)
329,2023,1,"שדה נחמיה","שדהנחמיה",2023-12-08,205.787298746099,1,12,NA,"HaZafon",c(35.624589, 33.1882845)
330,2015,1,"אלומות","אלומות",2015-03-11,157.856049638144,1,3,320,"HaZafon",c(35.5463205, 32.7082059)
330,2016,1,"אלומות","אלומות",2016-09-20,157.856049638144,1,9,350,"HaZafon",c(35.5463205, 32.7082059)
330,2017,1,"אלומות","אלומות",2017-07-18,157.856049638144,1,7,381,"HaZafon",c(35.5463205, 32.7082059)
331,2014,1,"ניר צבי","נירצבי",2014-08-20,52.1611265153962,1,8,1250,"HaMerkaz",c(34.8611565, 31.9530399)
331,2014,1,"ניר צבי","נירצבי",2014-07-29,52.1611265153962,1,7,1250,"HaMerkaz",c(34.8611565, 31.9530399)
331,2015,1,"ניר צבי","נירצבי",2015-03-23,52.1611265153962,1,3,1280,"HaMerkaz",c(34.8611565, 31.9530399)
331,2016,1,"ניר צבי","נירצבי",2016-09-20,52.1611265153962,1,9,1300,"HaMerkaz",c(34.8611565, 31.9530399)
331,2021,1,"ניר צבי","נירצבי",2021-05-11,52.1611265153962,1,5,1272,"HaMerkaz",c(34.8611565, 31.9530399)
331,2022,1,"ניר צבי","נירצבי",2022-08-07,52.1611265153962,1,8,1270,"HaMerkaz",c(34.8611565, 31.9530399)
331,2023,1,"ניר צבי","נירצבי",2023-12-05,52.1611265153962,1,12,NA,"HaMerkaz",c(34.8611565, 31.9530399)
331,2023,1,"ניר צבי","נירצבי",2023-11-05,52.1611265153962,1,11,NA,"HaMerkaz",c(34.8611565, 31.9530399)
331,2023,1,"ניר צבי","נירצבי",2023-10-24,52.1611265153962,1,10,NA,"HaMerkaz",c(34.8611565, 31.9530399)
334,2014,1,"קבוצת יבנה","קבוצתיבנה",2014-07-29,31.4937236337077,1,7,960,"HaMerkaz",c(34.719815, 31.816119)
334,2014,1,"קבוצת יבנה","קבוצתיבנה",2014-08-21,31.4937236337077,1,8,960,"HaMerkaz",c(34.719815, 31.816119)
334,2016,1,"קבוצת יבנה","קבוצתיבנה",2016-09-20,31.4937236337077,1,9,980,"HaMerkaz",c(34.719815, 31.816119)
334,2017,1,"קבוצת יבנה","קבוצתיבנה",2017-08-08,31.4937236337077,1,8,991,"HaMerkaz",c(34.719815, 31.816119)
334,2019,1,"קבוצת יבנה","קבוצתיבנה",2019-05-05,31.4937236337077,1,5,964,"HaMerkaz",c(34.719815, 31.816119)
334,2019,1,"קבוצת יבנה","קבוצתיבנה",2019-11-13,31.4937236337077,1,11,964,"HaMerkaz",c(34.719815, 31.816119)
334,2021,1,"קבוצת יבנה","קבוצתיבנה",2021-05-15,31.4937236337077,1,5,957,"HaMerkaz",c(34.719815, 31.816119)
334,2022,1,"קבוצת יבנה","קבוצתיבנה",2022-08-05,31.4937236337077,1,8,940,"HaMerkaz",c(34.719815, 31.816119)
334,2023,1,"קבוצת יבנה","קבוצתיבנה",2023-05-13,31.4937236337077,1,5,NA,"HaMerkaz",c(34.719815, 31.816119)
334,2023,1,"קבוצת יבנה","קבוצתיבנה",2023-10-14,31.4937236337077,1,10,NA,"HaMerkaz",c(34.719815, 31.816119)
334,2023,1,"קבוצת יבנה","קבוצתיבנה",2023-11-20,31.4937236337077,1,11,NA,"HaMerkaz",c(34.719815, 31.816119)
334,2023,1,"קבוצת יבנה","קבוצתיבנה",2023-12-01,31.4937236337077,1,12,NA,"HaMerkaz",c(34.719815, 31.816119)
336,2015,1,"דורות","דורות",2015-04-23,7.70022868230875,1,4,760,"HaDarom",c(34.64596, 31.506123)
336,2016,1,"דורות","דורות",2016-09-20,7.70022868230875,1,9,790,"HaDarom",c(34.64596, 31.506123)
336,2016,1,"דורות","דורות",2016-03-11,7.70022868230875,1,3,790,"HaDarom",c(34.64596, 31.506123)
336,2017,1,"דורות","דורות",2017-12-08,7.70022868230875,1,12,812,"HaDarom",c(34.64596, 31.506123)
336,2018,1,"דורות","דורות",2018-08-09,7.70022868230875,1,8,821,"HaDarom",c(34.64596, 31.506123)
336,2018,1,"דורות","דורות",2018-05-29,7.70022868230875,1,5,821,"HaDarom",c(34.64596, 31.506123)
336,2018,1,"דורות","דורות",2018-07-14,7.70022868230875,1,7,821,"HaDarom",c(34.64596, 31.506123)
336,2018,1,"דורות","דורות",2018-11-12,7.70022868230875,1,11,821,"HaDarom",c(34.64596, 31.506123)
336,2019,1,"דורות","דורות",2019-05-04,7.70022868230875,1,5,843,"HaDarom",c(34.64596, 31.506123)
336,2019,1,"דורות","דורות",2019-11-12,7.70022868230875,1,11,843,"HaDarom",c(34.64596, 31.506123)
336,2019,1,"דורות","דורות",2019-08-17,7.70022868230875,1,8,843,"HaDarom",c(34.64596, 31.506123)
336,2021,1,"דורות","דורות",2021-05-14,7.70022868230875,1,5,870,"HaDarom",c(34.64596, 31.506123)
336,2022,1,"דורות","דורות",2022-08-07,7.70022868230875,1,8,915,"HaDarom",c(34.64596, 31.506123)
336,2023,1,"דורות","דורות",2023-10-09,7.70022868230875,1,10,NA,"HaDarom",c(34.64596, 31.506123)
336,2023,1,"דורות","דורות",2023-04-06,7.70022868230875,1,4,NA,"HaDarom",c(34.64596, 31.506123)
336,2023,1,"דורות","דורות",2023-11-04,7.70022868230875,1,11,NA,"HaDarom",c(34.64596, 31.506123)
338,2014,1,"איבים","איבים",2014-07-31,3.50676159509691,1,7,260,"HaDarom",c(34.609697, 31.5335965)
338,2014,1,"איבים","איבים",2014-08-24,3.50676159509691,1,8,260,"HaDarom",c(34.609697, 31.5335965)
338,2015,1,"איבים","איבים",2015-04-23,3.50676159509691,1,4,280,"HaDarom",c(34.609697, 31.5335965)
338,2015,1,"איבים","איבים",2015-12-13,3.50676159509691,1,12,280,"HaDarom",c(34.609697, 31.5335965)
338,2016,1,"איבים","איבים",2016-03-11,3.50676159509691,1,3,130,"HaDarom",c(34.609697, 31.5335965)
338,2016,1,"איבים","איבים",2016-01-01,3.50676159509691,1,1,130,"HaDarom",c(34.609697, 31.5335965)
338,2016,1,"איבים","איבים",2016-07-01,3.50676159509691,1,7,130,"HaDarom",c(34.609697, 31.5335965)
338,2016,1,"איבים","איבים",2016-08-21,3.50676159509691,1,8,130,"HaDarom",c(34.609697, 31.5335965)
338,2016,1,"איבים","איבים",2016-09-20,3.50676159509691,1,9,130,"HaDarom",c(34.609697, 31.5335965)
338,2017,1,"איבים","איבים",2017-11-30,3.50676159509691,1,11,379,"HaDarom",c(34.609697, 31.5335965)
338,2017,1,"איבים","איבים",2017-12-13,3.50676159509691,1,12,379,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-02-18,3.50676159509691,1,2,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-05-29,3.50676159509691,1,5,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-10-26,3.50676159509691,1,10,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-07-14,3.50676159509691,1,7,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-11-12,3.50676159509691,1,11,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-06-27,3.50676159509691,1,6,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-03-25,3.50676159509691,1,3,277,"HaDarom",c(34.609697, 31.5335965)
338,2018,1,"איבים","איבים",2018-08-09,3.50676159509691,1,8,277,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-12-07,3.50676159509691,1,12,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-07-03,3.50676159509691,1,7,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-08-17,3.50676159509691,1,8,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-11-01,3.50676159509691,1,11,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-06-13,3.50676159509691,1,6,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1,"איבים","איבים",2019-03-25,3.50676159509691,1,3,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1,"איבים","איבים",2019-05-04,3.50676159509691,1,5,458,"HaDarom",c(34.609697, 31.5335965)
338,2019,1," איבים","איבים",2019-09-06,3.50676159509691,1,9,458,"HaDarom",c(34.609697, 31.5335965)
338,2020,1," איבים","איבים",2020-01-31,3.50676159509691,1,1,652,"HaDarom",c(34.609697, 31.5335965)
338,2020,1," איבים","איבים",2020-09-16,3.50676159509691,1,9,652,"HaDarom",c(34.609697, 31.5335965)
338,2020,1," איבים","איבים",2020-08-02,3.50676159509691,1,8,652,"HaDarom",c(34.609697, 31.5335965)
338,2020,1," איבים","איבים",2020-02-23,3.50676159509691,1,2,652,"HaDarom",c(34.609697, 31.5335965)
338,2020,1," איבים","איבים",2020-03-27,3.50676159509691,1,3,652,"HaDarom",c(34.609697, 31.5335965)
338,2021,1," איבים","איבים",2021-04-26,3.50676159509691,1,4,721,"HaDarom",c(34.609697, 31.5335965)
338,2021,1," איבים","איבים",2021-09-11,3.50676159509691,1,9,721,"HaDarom",c(34.609697, 31.5335965)
338,2021,1," איבים","איבים",2021-05-12,3.50676159509691,1,5,721,"HaDarom",c(34.609697, 31.5335965)
338,2021,1," איבים","איבים",2021-10-18,3.50676159509691,1,10,721,"HaDarom",c(34.609697, 31.5335965)
338,2021,1," איבים","איבים",2021-08-16,3.50676159509691,1,8,721,"HaDarom",c(34.609697, 31.5335965)
338,2022,1," איבים","איבים",2022-04-21,3.50676159509691,1,4,774,"HaDarom",c(34.609697, 31.5335965)
338,2022,1," איבים","איבים",2022-08-06,3.50676159509691,1,8,774,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-10-20,3.50676159509691,1,10,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-05-10,3.50676159509691,1,5,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-11-05,3.50676159509691,1,11,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-12-12,3.50676159509691,1,12,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-04-07,3.50676159509691,1,4,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-02-01,3.50676159509691,1,2,NA,"HaDarom",c(34.609697, 31.5335965)
338,2023,1," איבים","איבים",2023-07-05,3.50676159509691,1,7,NA,"HaDarom",c(34.609697, 31.5335965)
339,2015,1,"רמת צבי","רמתצבי",2015-03-11,139.56674326709,1,3,590,"HaZafon",c(35.4122204, 32.5925854)
339,2016,1,"רמת צבי","רמתצבי",2016-09-20,139.56674326709,1,9,640,"HaZafon",c(35.4122204, 32.5925854)
342,2014,1,"גברעם","גברעם",2014-07-27,6.60566917136062,1,7,390,"HaDarom",c(34.6121915, 31.5917914)
342,2014,1,"גברעם","גברעם",2014-08-01,6.60566917136062,1,8,390,"HaDarom",c(34.6121915, 31.5917914)
342,2016,1,"גברעם","גברעם",2016-09-20,6.60566917136062,1,9,450,"HaDarom",c(34.6121915, 31.5917914)
342,2018,1,"גברעם","גברעם",2018-07-14,6.60566917136062,1,7,470,"HaDarom",c(34.6121915, 31.5917914)
342,2018,1,"גברעם","גברעם",2018-08-09,6.60566917136062,1,8,470,"HaDarom",c(34.6121915, 31.5917914)
342,2018,1,"גברעם","גברעם",2018-05-30,6.60566917136062,1,5,470,"HaDarom",c(34.6121915, 31.5917914)
342,2018,1,"גברעם","גברעם",2018-06-03,6.60566917136062,1,6,470,"HaDarom",c(34.6121915, 31.5917914)
342,2019,1,"גברעם","גברעם",2019-05-05,6.60566917136062,1,5,466,"HaDarom",c(34.6121915, 31.5917914)
342,2021,1,"גברעם","גברעם",2021-05-13,6.60566917136062,1,5,668,"HaDarom",c(34.6121915, 31.5917914)
342,2022,1,"גברעם","גברעם",2022-08-06,6.60566917136062,1,8,674,"HaDarom",c(34.6121915, 31.5917914)
342,2023,1,"גברעם","גברעם",2023-12-03,6.60566917136062,1,12,NA,"HaDarom",c(34.6121915, 31.5917914)
342,2023,1,"גברעם","גברעם",2023-10-07,6.60566917136062,1,10,NA,"HaDarom",c(34.6121915, 31.5917914)
342,2023,1,"גברעם","גברעם",2023-11-18,6.60566917136062,1,11,NA,"HaDarom",c(34.6121915, 31.5917914)
343,2015,1,"חמדיה","חמדיה",2015-03-11,140.517136381856,1,3,400,"HaZafon",c(35.5197915, 32.519864)
343,2016,1,"חמדיה","חמדיה",2016-09-20,140.517136381856,1,9,380,"HaZafon",c(35.5197915, 32.519864)
343,2018,1,"חמדיה","חמדיה",2018-02-10,140.517136381856,1,2,365,"HaZafon",c(35.5197915, 32.519864)
344,2016,1,"מענית","מענית",2016-06-22,107.824686484457,1,6,690,"Haifa",c(35.0286855, 32.456388)
344,2016,1,"מענית","מענית",2016-09-20,107.824686484457,1,9,690,"Haifa",c(35.0286855, 32.456388)
344,2019,1,"מענית","מענית",2019-07-31,107.824686484457,1,7,812,"Haifa",c(35.0286855, 32.456388)
344,2023,1,"מענית","מענית",2023-10-07,107.824686484457,1,10,NA,"Haifa",c(35.0286855, 32.456388)
345,2014,1,"כפר סאלד","כפרסאלד",2014-07-29,208.212583302438,1,7,570,"HaZafon",c(35.6574289, 33.1950795)
345,2014,1,"כפר סאלד","כפרסאלד",2014-08-21,208.212583302438,1,8,570,"HaZafon",c(35.6574289, 33.1950795)
345,2015,1,"כפר סאלד","כפרסאלד",2015-04-28,208.212583302438,1,4,590,"HaZafon",c(35.6574289, 33.1950795)
345,2016,1,"כפר סאלד","כפרסאלד",2016-12-06,208.212583302438,1,12,600,"HaZafon",c(35.6574289, 33.1950795)
345,2016,1,"כפר סאלד","כפרסאלד",2016-09-20,208.212583302438,1,9,600,"HaZafon",c(35.6574289, 33.1950795)
345,2018,1,"כפר סאלד","כפרסאלד",2018-02-10,208.212583302438,1,2,632,"HaZafon",c(35.6574289, 33.1950795)
345,2019,1,"כפר סאלד","כפרסאלד",2019-05-20,208.212583302438,1,5,674,"HaZafon",c(35.6574289, 33.1950795)
345,2019,1,"כפר סאלד","כפרסאלד",2019-11-19,208.212583302438,1,11,674,"HaZafon",c(35.6574289, 33.1950795)
348,2014,1,"ניר עם","נירעם",2014-07-31,1.5320368080249,1,7,480,"HaDarom",c(34.5771634, 31.5202415)
348,2014,1,"ניר עם","נירעם",2014-08-08,1.5320368080249,1,8,480,"HaDarom",c(34.5771634, 31.5202415)
348,2015,1,"ניר עם","נירעם",2015-12-13,1.5320368080249,1,12,490,"HaDarom",c(34.5771634, 31.5202415)
348,2015,1,"ניר עם","נירעם",2015-04-23,1.5320368080249,1,4,490,"HaDarom",c(34.5771634, 31.5202415)
348,2016,1,"ניר עם","נירעם",2016-03-11,1.5320368080249,1,3,510,"HaDarom",c(34.5771634, 31.5202415)
348,2016,1,"ניר עם","נירעם",2016-08-21,1.5320368080249,1,8,510,"HaDarom",c(34.5771634, 31.5202415)
348,2016,1,"ניר עם","נירעם",2016-09-20,1.5320368080249,1,9,510,"HaDarom",c(34.5771634, 31.5202415)
348,2016,1,"ניר עם","נירעם",2016-01-01,1.5320368080249,1,1,510,"HaDarom",c(34.5771634, 31.5202415)
348,2016,1,"ניר עם","נירעם",2016-07-01,1.5320368080249,1,7,510,"HaDarom",c(34.5771634, 31.5202415)
348,2017,1,"ניר עם","נירעם",2017-11-30,1.5320368080249,1,11,553,"HaDarom",c(34.5771634, 31.5202415)
348,2017,1,"ניר עם","נירעם",2017-12-13,1.5320368080249,1,12,553,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-11-12,1.5320368080249,1,11,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-05-30,1.5320368080249,1,5,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-08-08,1.5320368080249,1,8,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-06-27,1.5320368080249,1,6,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-10-26,1.5320368080249,1,10,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-02-18,1.5320368080249,1,2,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-07-14,1.5320368080249,1,7,573,"HaDarom",c(34.5771634, 31.5202415)
348,2018,1,"ניר עם","נירעם",2018-03-25,1.5320368080249,1,3,573,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-08-17,1.5320368080249,1,8,611,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-09-19,1.5320368080249,1,9,611,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-05-04,1.5320368080249,1,5,611,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-03-25,1.5320368080249,1,3,611,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-12-07,1.5320368080249,1,12,611,"HaDarom",c(34.5771634, 31.5202415)
348,2019,1,"ניר עם","נירעם",2019-11-12,1.5320368080249,1,11,611,"HaDarom",c(34.5771634, 31.5202415)
348,2020,1,"ניר עם","נירעם",2020-07-05,1.5320368080249,1,7,644,"HaDarom",c(34.5771634, 31.5202415)
348,2020,1,"ניר עם","נירעם",2020-08-02,1.5320368080249,1,8,644,"HaDarom",c(34.5771634, 31.5202415)
348,2020,1,"ניר עם","נירעם",2020-09-16,1.5320368080249,1,9,644,"HaDarom",c(34.5771634, 31.5202415)
348,2020,1,"ניר עם","נירעם",2020-01-31,1.5320368080249,1,1,644,"HaDarom",c(34.5771634, 31.5202415)
348,2020,1,"ניר עם","נירעם",2020-02-24,1.5320368080249,1,2,644,"HaDarom",c(34.5771634, 31.5202415)
348,2021,1,"ניר עם","נירעם",2021-05-18,1.5320368080249,1,5,683,"HaDarom",c(34.5771634, 31.5202415)
348,2021,1,"ניר עם","נירעם",2021-04-26,1.5320368080249,1,4,683,"HaDarom",c(34.5771634, 31.5202415)
348,2021,1," ניר עם","נירעם",2021-08-16,1.5320368080249,1,8,683,"HaDarom",c(34.5771634, 31.5202415)
348,2021,1," ניר עם","נירעם",2021-10-18,1.5320368080249,1,10,683,"HaDarom",c(34.5771634, 31.5202415)
348,2021,1," ניר עם","נירעם",2021-09-12,1.5320368080249,1,9,683,"HaDarom",c(34.5771634, 31.5202415)
348,2022,1," ניר עם","נירעם",2022-04-21,1.5320368080249,1,4,726,"HaDarom",c(34.5771634, 31.5202415)
348,2022,1," ניר עם","נירעם",2022-08-06,1.5320368080249,1,8,726,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-10-09,1.5320368080249,1,10,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-12-13,1.5320368080249,1,12,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-05-10,1.5320368080249,1,5,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-02-01,1.5320368080249,1,2,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-04-07,1.5320368080249,1,4,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-11-17,1.5320368080249,1,11,NA,"HaDarom",c(34.5771634, 31.5202415)
348,2023,1," ניר עם","נירעם",2023-07-05,1.5320368080249,1,7,NA,"HaDarom",c(34.5771634, 31.5202415)
351,2014,1,"ניצן","ניצן",2014-07-31,20.1941971675792,1,7,1660,"HaDarom",c(34.631012, 31.739369)
351,2014,1,"ניצן","ניצן",2014-08-03,20.1941971675792,1,8,1660,"HaDarom",c(34.631012, 31.739369)
351,2015,1,"ניצן","ניצן",2015-09-29,20.1941971675792,1,9,1850,"HaDarom",c(34.631012, 31.739369)
