date,Value,District,Keyword,Timeframe
2018-11-25,0,Jerusalem District,elections,2017-2019
2018-12-02,0,Jerusalem District,elections,2017-2019
2018-12-09,0,Jerusalem District,elections,2017-2019
2018-12-16,0,Jerusalem District,elections,2017-2019
2018-12-23,0,Jerusalem District,elections,2017-2019
2018-12-30,0,Jerusalem District,elections,2017-2019
2019-01-06,0,Jerusalem District,elections,2017-2019
2019-01-13,0,Jerusalem District,elections,2017-2019
2019-01-20,0,Jerusalem District,elections,2017-2019
2019-01-27,0,Jerusalem District,elections,2017-2019
2019-02-03,0,Jerusalem District,elections,2017-2019
2019-02-10,0,Jerusalem District,elections,2017-2019
2019-02-17,0,Jerusalem District,elections,2017-2019
2019-02-24,7,Jerusalem District,elections,2017-2019
2019-03-03,0,Jerusalem District,elections,2017-2019
2019-03-10,0,Jerusalem District,elections,2017-2019
2019-03-17,8,Jerusalem District,elections,2017-2019
2019-03-24,0,Jerusalem District,elections,2017-2019
2019-03-31,12,Jerusalem District,elections,2017-2019
2019-04-07,100,Jerusalem District,elections,2017-2019
2019-04-14,0,Jerusalem District,elections,2017-2019
2019-04-21,0,Jerusalem District,elections,2017-2019
2019-04-28,8,Jerusalem District,elections,2017-2019
2019-05-05,0,Jerusalem District,elections,2017-2019
2019-05-12,0,Jerusalem District,elections,2017-2019
2019-05-19,15,Jerusalem District,elections,2017-2019
2019-05-26,13,Jerusalem District,elections,2017-2019
2019-06-02,0,Jerusalem District,elections,2017-2019
2019-06-09,0,Jerusalem District,elections,2017-2019
2019-06-16,0,Jerusalem District,elections,2017-2019
2019-06-23,0,Jerusalem District,elections,2017-2019
2019-06-30,0,Jerusalem District,elections,2017-2019
2019-07-07,0,Jerusalem District,elections,2017-2019
2019-07-14,0,Jerusalem District,elections,2017-2019
2019-07-21,0,Jerusalem District,elections,2017-2019
2019-07-28,0,Jerusalem District,elections,2017-2019
2019-08-04,8,Jerusalem District,elections,2017-2019
2019-08-11,0,Jerusalem District,elections,2017-2019
2019-08-18,0,Jerusalem District,elections,2017-2019
2019-08-25,0,Jerusalem District,elections,2017-2019
2019-09-01,0,Jerusalem District,elections,2017-2019
2019-09-08,8,Jerusalem District,elections,2017-2019
2019-09-15,96,Jerusalem District,elections,2017-2019
2019-09-22,9,Jerusalem District,elections,2017-2019
2019-09-29,10,Jerusalem District,elections,2017-2019
2019-10-06,0,Jerusalem District,elections,2017-2019
2019-10-13,0,Jerusalem District,elections,2017-2019
2019-10-20,10,Jerusalem District,elections,2017-2019
2019-10-27,8,Jerusalem District,elections,2017-2019
2019-11-03,7,Jerusalem District,elections,2017-2019
2019-11-10,0,Jerusalem District,elections,2017-2019
2019-11-17,0,Jerusalem District,elections,2017-2019
2019-11-24,0,Jerusalem District,elections,2017-2019
2019-12-01,0,Jerusalem District,elections,2017-2019
2019-12-08,24,Jerusalem District,elections,2017-2019
2019-12-15,0,Jerusalem District,elections,2017-2019
2019-12-22,0,Jerusalem District,elections,2017-2019
2019-12-29,0,Jerusalem District,elections,2017-2019
2019-12-29,0,Jerusalem District,elections,2020-2022
2020-01-05,0,Jerusalem District,elections,2020-2022
2020-01-12,2,Jerusalem District,elections,2020-2022
2020-01-19,0,Jerusalem District,elections,2020-2022
2020-01-26,0,Jerusalem District,elections,2020-2022
2020-02-02,0,Jerusalem District,elections,2020-2022
2020-02-09,0,Jerusalem District,elections,2020-2022
2020-02-16,0,Jerusalem District,elections,2020-2022
2020-02-23,2,Jerusalem District,elections,2020-2022
2020-03-01,18,Jerusalem District,elections,2020-2022
2020-03-08,0,Jerusalem District,elections,2020-2022
2020-03-15,2,Jerusalem District,elections,2020-2022
2020-03-22,0,Jerusalem District,elections,2020-2022
2020-03-29,0,Jerusalem District,elections,2020-2022
2020-04-05,0,Jerusalem District,elections,2020-2022
2020-04-12,0,Jerusalem District,elections,2020-2022
2020-04-19,0,Jerusalem District,elections,2020-2022
2020-04-26,0,Jerusalem District,elections,2020-2022
2020-05-03,0,Jerusalem District,elections,2020-2022
2020-05-10,0,Jerusalem District,elections,2020-2022
2020-05-17,0,Jerusalem District,elections,2020-2022
2020-05-24,0,Jerusalem District,elections,2020-2022
2020-05-31,0,Jerusalem District,elections,2020-2022
2020-06-07,0,Jerusalem District,elections,2020-2022
2020-06-14,0,Jerusalem District,elections,2020-2022
2020-06-21,0,Jerusalem District,elections,2020-2022
2020-06-28,2,Jerusalem District,elections,2020-2022
2020-07-05,0,Jerusalem District,elections,2020-2022
2020-07-12,0,Jerusalem District,elections,2020-2022
2020-07-19,0,Jerusalem District,elections,2020-2022
2020-07-26,0,Jerusalem District,elections,2020-2022
2020-08-02,0,Jerusalem District,elections,2020-2022
2020-08-09,0,Jerusalem District,elections,2020-2022
2020-08-16,0,Jerusalem District,elections,2020-2022
2020-08-23,0,Jerusalem District,elections,2020-2022
2020-08-30,0,Jerusalem District,elections,2020-2022
2020-09-06,0,Jerusalem District,elections,2020-2022
2020-09-13,0,Jerusalem District,elections,2020-2022
2020-09-20,0,Jerusalem District,elections,2020-2022
2020-09-27,0,Jerusalem District,elections,2020-2022
2020-10-04,2,Jerusalem District,elections,2020-2022
2020-10-11,0,Jerusalem District,elections,2020-2022
2020-10-18,2,Jerusalem District,elections,2020-2022
2020-10-25,3,Jerusalem District,elections,2020-2022
2020-11-01,100,Jerusalem District,elections,2020-2022
2020-11-08,10,Jerusalem District,elections,2020-2022
2020-11-15,3,Jerusalem District,elections,2020-2022
2020-11-22,0,Jerusalem District,elections,2020-2022
2020-11-29,0,Jerusalem District,elections,2020-2022
2020-12-06,0,Jerusalem District,elections,2020-2022
2020-12-13,0,Jerusalem District,elections,2020-2022
2020-12-20,0,Jerusalem District,elections,2020-2022
2020-12-27,0,Jerusalem District,elections,2020-2022
2021-01-03,0,Jerusalem District,elections,2020-2022
2021-01-10,0,Jerusalem District,elections,2020-2022
2021-01-17,0,Jerusalem District,elections,2020-2022
2021-01-24,0,Jerusalem District,elections,2020-2022
2021-01-31,0,Jerusalem District,elections,2020-2022
2021-02-07,0,Jerusalem District,elections,2020-2022
2021-02-14,0,Jerusalem District,elections,2020-2022
2021-02-21,0,Jerusalem District,elections,2020-2022
2021-02-28,0,Jerusalem District,elections,2020-2022
2021-03-07,0,Jerusalem District,elections,2020-2022
2021-03-14,0,Jerusalem District,elections,2020-2022
2021-03-21,13,Jerusalem District,elections,2020-2022
2021-03-28,0,Jerusalem District,elections,2020-2022
2021-04-04,0,Jerusalem District,elections,2020-2022
2021-04-11,0,Jerusalem District,elections,2020-2022
2021-04-18,0,Jerusalem District,elections,2020-2022
2021-04-25,0,Jerusalem District,elections,2020-2022
2021-05-02,0,Jerusalem District,elections,2020-2022
2021-05-09,0,Jerusalem District,elections,2020-2022
2021-05-16,0,Jerusalem District,elections,2020-2022
2021-05-23,0,Jerusalem District,elections,2020-2022
2021-05-30,0,Jerusalem District,elections,2020-2022
2021-06-06,0,Jerusalem District,elections,2020-2022
2021-06-13,0,Jerusalem District,elections,2020-2022
2021-06-20,0,Jerusalem District,elections,2020-2022
2021-06-27,0,Jerusalem District,elections,2020-2022
2021-07-04,0,Jerusalem District,elections,2020-2022
2021-07-11,0,Jerusalem District,elections,2020-2022
2021-07-18,0,Jerusalem District,elections,2020-2022
2021-07-25,0,Jerusalem District,elections,2020-2022
2021-08-01,0,Jerusalem District,elections,2020-2022
2021-08-08,0,Jerusalem District,elections,2020-2022
2021-08-15,0,Jerusalem District,elections,2020-2022
2021-08-22,0,Jerusalem District,elections,2020-2022
2021-08-29,0,Jerusalem District,elections,2020-2022
2021-09-05,0,Jerusalem District,elections,2020-2022
2021-09-12,0,Jerusalem District,elections,2020-2022
2021-09-19,0,Jerusalem District,elections,2020-2022
2021-09-26,0,Jerusalem District,elections,2020-2022
2021-10-03,0,Jerusalem District,elections,2020-2022
2021-10-10,0,Jerusalem District,elections,2020-2022
2021-10-17,0,Jerusalem District,elections,2020-2022
2021-10-24,0,Jerusalem District,elections,2020-2022
2021-10-31,2,Jerusalem District,elections,2020-2022
2021-11-07,0,Jerusalem District,elections,2020-2022
2021-11-14,0,Jerusalem District,elections,2020-2022
2021-11-21,0,Jerusalem District,elections,2020-2022
2021-11-28,0,Jerusalem District,elections,2020-2022
2021-12-05,0,Jerusalem District,elections,2020-2022
2021-12-12,0,Jerusalem District,elections,2020-2022
2021-12-19,0,Jerusalem District,elections,2020-2022
2021-12-26,0,Jerusalem District,elections,2020-2022
2022-01-02,0,Jerusalem District,elections,2020-2022
2022-01-09,0,Jerusalem District,elections,2020-2022
2022-01-16,0,Jerusalem District,elections,2020-2022
2022-01-23,0,Jerusalem District,elections,2020-2022
2022-01-30,0,Jerusalem District,elections,2020-2022
2022-02-06,0,Jerusalem District,elections,2020-2022
2022-02-13,0,Jerusalem District,elections,2020-2022
2022-02-20,0,Jerusalem District,elections,2020-2022
2022-02-27,0,Jerusalem District,elections,2020-2022
2022-03-06,0,Jerusalem District,elections,2020-2022
2022-03-13,0,Jerusalem District,elections,2020-2022
2022-03-20,0,Jerusalem District,elections,2020-2022
2022-03-27,0,Jerusalem District,elections,2020-2022
2022-04-03,1,Jerusalem District,elections,2020-2022
2022-04-10,1,Jerusalem District,elections,2020-2022
2022-04-17,1,Jerusalem District,elections,2020-2022
2022-04-24,3,Jerusalem District,elections,2020-2022
2022-05-01,0,Jerusalem District,elections,2020-2022
2022-05-08,0,Jerusalem District,elections,2020-2022
2022-05-15,1,Jerusalem District,elections,2020-2022
2022-05-22,0,Jerusalem District,elections,2020-2022
2022-05-29,0,Jerusalem District,elections,2020-2022
2022-06-05,0,Jerusalem District,elections,2020-2022
2022-06-12,1,Jerusalem District,elections,2020-2022
2022-06-19,1,Jerusalem District,elections,2020-2022
2022-06-26,0,Jerusalem District,elections,2020-2022
2022-07-03,0,Jerusalem District,elections,2020-2022
2022-07-10,0,Jerusalem District,elections,2020-2022
2022-07-17,0,Jerusalem District,elections,2020-2022
2022-07-24,0,Jerusalem District,elections,2020-2022
2022-07-31,0,Jerusalem District,elections,2020-2022
2022-08-07,0,Jerusalem District,elections,2020-2022
2022-08-14,0,Jerusalem District,elections,2020-2022
2022-08-21,0,Jerusalem District,elections,2020-2022
2022-08-28,0,Jerusalem District,elections,2020-2022
2022-09-04,0,Jerusalem District,elections,2020-2022
2022-09-11,0,Jerusalem District,elections,2020-2022
2022-09-18,0,Jerusalem District,elections,2020-2022
2022-09-25,2,Jerusalem District,elections,2020-2022
2022-10-02,1,Jerusalem District,elections,2020-2022
2022-10-09,0,Jerusalem District,elections,2020-2022
2022-10-16,0,Jerusalem District,elections,2020-2022
2022-10-23,3,Jerusalem District,elections,2020-2022
2022-10-30,24,Jerusalem District,elections,2020-2022
2022-11-06,17,Jerusalem District,elections,2020-2022
2022-11-13,5,Jerusalem District,elections,2020-2022
2022-11-20,1,Jerusalem District,elections,2020-2022
2022-11-27,0,Jerusalem District,elections,2020-2022
2022-12-04,1,Jerusalem District,elections,2020-2022
2022-12-11,0,Jerusalem District,elections,2020-2022
2022-12-18,0,Jerusalem District,elections,2020-2022
2022-12-25,0,Jerusalem District,elections,2020-2022
2017-01-01,88,North District,netanyahu,2017-2019
2017-01-08,0,North District,netanyahu,2017-2019
2017-01-15,0,North District,netanyahu,2017-2019
2017-01-22,0,North District,netanyahu,2017-2019
2017-01-29,0,North District,netanyahu,2017-2019
2017-02-05,0,North District,netanyahu,2017-2019
2017-02-12,0,North District,netanyahu,2017-2019
2017-02-19,0,North District,netanyahu,2017-2019
2017-02-26,0,North District,netanyahu,2017-2019
2017-03-05,0,North District,netanyahu,2017-2019
2017-03-12,0,North District,netanyahu,2017-2019
2017-03-19,0,North District,netanyahu,2017-2019
2017-03-26,0,North District,netanyahu,2017-2019
2017-04-02,0,North District,netanyahu,2017-2019
2017-04-09,0,North District,netanyahu,2017-2019
2017-04-16,0,North District,netanyahu,2017-2019
2017-04-23,0,North District,netanyahu,2017-2019
2017-04-30,0,North District,netanyahu,2017-2019
2017-05-07,0,North District,netanyahu,2017-2019
2017-05-14,0,North District,netanyahu,2017-2019
2017-05-21,0,North District,netanyahu,2017-2019
2017-05-28,0,North District,netanyahu,2017-2019
2017-06-04,0,North District,netanyahu,2017-2019
2017-06-11,0,North District,netanyahu,2017-2019
2017-06-18,0,North District,netanyahu,2017-2019
2017-06-25,0,North District,netanyahu,2017-2019
2017-07-02,0,North District,netanyahu,2017-2019
2017-07-09,0,North District,netanyahu,2017-2019
2017-07-16,0,North District,netanyahu,2017-2019
2017-07-23,0,North District,netanyahu,2017-2019
2017-07-30,0,North District,netanyahu,2017-2019
2017-08-06,0,North District,netanyahu,2017-2019
2017-08-13,0,North District,netanyahu,2017-2019
2017-08-20,0,North District,netanyahu,2017-2019
2017-08-27,0,North District,netanyahu,2017-2019
2017-09-03,0,North District,netanyahu,2017-2019
2017-09-10,0,North District,netanyahu,2017-2019
2017-09-17,0,North District,netanyahu,2017-2019
2017-09-24,0,North District,netanyahu,2017-2019
2017-10-01,0,North District,netanyahu,2017-2019
2017-10-08,0,North District,netanyahu,2017-2019
2017-10-15,0,North District,netanyahu,2017-2019
2017-10-22,0,North District,netanyahu,2017-2019
2017-10-29,0,North District,netanyahu,2017-2019
2017-11-05,0,North District,netanyahu,2017-2019
2017-11-12,0,North District,netanyahu,2017-2019
2017-11-19,0,North District,netanyahu,2017-2019
2017-11-26,0,North District,netanyahu,2017-2019
2017-12-03,0,North District,netanyahu,2017-2019
2017-12-10,0,North District,netanyahu,2017-2019
2017-12-17,0,North District,netanyahu,2017-2019
2017-12-24,0,North District,netanyahu,2017-2019
2017-12-31,0,North District,netanyahu,2017-2019
2018-01-07,0,North District,netanyahu,2017-2019
2018-01-14,0,North District,netanyahu,2017-2019
2018-01-21,0,North District,netanyahu,2017-2019
2018-01-28,0,North District,netanyahu,2017-2019
2018-02-04,0,North District,netanyahu,2017-2019
2018-02-11,0,North District,netanyahu,2017-2019
2018-02-18,0,North District,netanyahu,2017-2019
2018-02-25,0,North District,netanyahu,2017-2019
2018-03-04,0,North District,netanyahu,2017-2019
2018-03-11,0,North District,netanyahu,2017-2019
2018-03-18,0,North District,netanyahu,2017-2019
2018-03-25,0,North District,netanyahu,2017-2019
2018-04-01,0,North District,netanyahu,2017-2019
2018-04-08,0,North District,netanyahu,2017-2019
2018-04-15,0,North District,netanyahu,2017-2019
2018-04-22,0,North District,netanyahu,2017-2019
2018-04-29,100,North District,netanyahu,2017-2019
2018-05-06,0,North District,netanyahu,2017-2019
2018-05-13,0,North District,netanyahu,2017-2019
2018-05-20,0,North District,netanyahu,2017-2019
2018-05-27,0,North District,netanyahu,2017-2019
2018-06-03,0,North District,netanyahu,2017-2019
2018-06-10,0,North District,netanyahu,2017-2019
2018-06-17,0,North District,netanyahu,2017-2019
2018-06-24,0,North District,netanyahu,2017-2019
2018-07-01,0,North District,netanyahu,2017-2019
2018-07-08,0,North District,netanyahu,2017-2019
2018-07-15,0,North District,netanyahu,2017-2019
2018-07-22,0,North District,netanyahu,2017-2019
2018-07-29,0,North District,netanyahu,2017-2019
2018-08-05,0,North District,netanyahu,2017-2019
2018-08-12,0,North District,netanyahu,2017-2019
2018-08-19,0,North District,netanyahu,2017-2019
2018-08-26,0,North District,netanyahu,2017-2019
2018-09-02,0,North District,netanyahu,2017-2019
2018-09-09,0,North District,netanyahu,2017-2019
2018-09-16,0,North District,netanyahu,2017-2019
2018-09-23,0,North District,netanyahu,2017-2019
2018-09-30,0,North District,netanyahu,2017-2019
2018-10-07,0,North District,netanyahu,2017-2019
2018-10-14,0,North District,netanyahu,2017-2019
2018-10-21,0,North District,netanyahu,2017-2019
2018-10-28,0,North District,netanyahu,2017-2019
2018-11-04,0,North District,netanyahu,2017-2019
2018-11-11,0,North District,netanyahu,2017-2019
2018-11-18,0,North District,netanyahu,2017-2019
2018-11-25,0,North District,netanyahu,2017-2019
2018-12-02,0,North District,netanyahu,2017-2019
2018-12-09,0,North District,netanyahu,2017-2019
2018-12-16,0,North District,netanyahu,2017-2019
2018-12-23,0,North District,netanyahu,2017-2019
2018-12-30,0,North District,netanyahu,2017-2019
2019-01-06,0,North District,netanyahu,2017-2019
2019-01-13,0,North District,netanyahu,2017-2019
2019-01-20,0,North District,netanyahu,2017-2019
2019-01-27,0,North District,netanyahu,2017-2019
2019-02-03,0,North District,netanyahu,2017-2019
2019-02-10,0,North District,netanyahu,2017-2019
2019-02-17,0,North District,netanyahu,2017-2019
2019-02-24,0,North District,netanyahu,2017-2019
2019-03-03,0,North District,netanyahu,2017-2019
2019-03-10,0,North District,netanyahu,2017-2019
2019-03-17,0,North District,netanyahu,2017-2019
2019-03-24,63,North District,netanyahu,2017-2019
2019-03-31,0,North District,netanyahu,2017-2019
2019-04-07,65,North District,netanyahu,2017-2019
2019-04-14,0,North District,netanyahu,2017-2019
2019-04-21,0,North District,netanyahu,2017-2019
2019-04-28,0,North District,netanyahu,2017-2019
2019-05-05,0,North District,netanyahu,2017-2019
2019-05-12,0,North District,netanyahu,2017-2019
2019-05-19,0,North District,netanyahu,2017-2019
2019-05-26,70,North District,netanyahu,2017-2019
2019-06-02,0,North District,netanyahu,2017-2019
2019-06-09,0,North District,netanyahu,2017-2019
2019-06-16,0,North District,netanyahu,2017-2019
2019-06-23,0,North District,netanyahu,2017-2019
2019-06-30,0,North District,netanyahu,2017-2019
2019-07-07,0,North District,netanyahu,2017-2019
2019-07-14,0,North District,netanyahu,2017-2019
2019-07-21,0,North District,netanyahu,2017-2019
2019-07-28,0,North District,netanyahu,2017-2019
2019-08-04,0,North District,netanyahu,2017-2019
2019-08-11,0,North District,netanyahu,2017-2019
2019-08-18,0,North District,netanyahu,2017-2019
2019-08-25,0,North District,netanyahu,2017-2019
2019-09-01,0,North District,netanyahu,2017-2019
2019-09-08,0,North District,netanyahu,2017-2019
2019-09-15,56,North District,netanyahu,2017-2019
2019-09-22,0,North District,netanyahu,2017-2019
2019-09-29,0,North District,netanyahu,2017-2019
2019-10-06,0,North District,netanyahu,2017-2019
2019-10-13,0,North District,netanyahu,2017-2019
2019-10-20,0,North District,netanyahu,2017-2019
2019-10-27,0,North District,netanyahu,2017-2019
2019-11-03,0,North District,netanyahu,2017-2019
2019-11-10,0,North District,netanyahu,2017-2019
2019-11-17,0,North District,netanyahu,2017-2019
2019-11-24,0,North District,netanyahu,2017-2019
2019-12-01,0,North District,netanyahu,2017-2019
2019-12-08,0,North District,netanyahu,2017-2019
2019-12-15,0,North District,netanyahu,2017-2019
2019-12-22,0,North District,netanyahu,2017-2019
2019-12-29,0,North District,netanyahu,2017-2019
2019-12-29,0,North District,netanyahu,2020-2022
2020-01-05,0,North District,netanyahu,2020-2022
2020-01-12,0,North District,netanyahu,2020-2022
2020-01-19,0,North District,netanyahu,2020-2022
2020-01-26,0,North District,netanyahu,2020-2022
2020-02-02,0,North District,netanyahu,2020-2022
2020-02-09,0,North District,netanyahu,2020-2022
2020-02-16,0,North District,netanyahu,2020-2022
2020-02-23,0,North District,netanyahu,2020-2022
2020-03-01,0,North District,netanyahu,2020-2022
2020-03-08,72,North District,netanyahu,2020-2022
2020-03-15,0,North District,netanyahu,2020-2022
2020-03-22,0,North District,netanyahu,2020-2022
2020-03-29,0,North District,netanyahu,2020-2022
2020-04-05,0,North District,netanyahu,2020-2022
2020-04-12,0,North District,netanyahu,2020-2022
2020-04-19,0,North District,netanyahu,2020-2022
2020-04-26,0,North District,netanyahu,2020-2022
2020-05-03,0,North District,netanyahu,2020-2022
2020-05-10,0,North District,netanyahu,2020-2022
2020-05-17,0,North District,netanyahu,2020-2022
2020-05-24,0,North District,netanyahu,2020-2022
2020-05-31,0,North District,netanyahu,2020-2022
2020-06-07,0,North District,netanyahu,2020-2022
2020-06-14,0,North District,netanyahu,2020-2022
2020-06-21,0,North District,netanyahu,2020-2022
2020-06-28,0,North District,netanyahu,2020-2022
2020-07-05,0,North District,netanyahu,2020-2022
2020-07-12,0,North District,netanyahu,2020-2022
2020-07-19,0,North District,netanyahu,2020-2022
2020-07-26,78,North District,netanyahu,2020-2022
2020-08-02,67,North District,netanyahu,2020-2022
2020-08-09,0,North District,netanyahu,2020-2022
2020-08-16,0,North District,netanyahu,2020-2022
2020-08-23,0,North District,netanyahu,2020-2022
2020-08-30,0,North District,netanyahu,2020-2022
2020-09-06,0,North District,netanyahu,2020-2022
2020-09-13,73,North District,netanyahu,2020-2022
2020-09-20,0,North District,netanyahu,2020-2022
2020-09-27,0,North District,netanyahu,2020-2022
2020-10-04,69,North District,netanyahu,2020-2022
2020-10-11,0,North District,netanyahu,2020-2022
2020-10-18,0,North District,netanyahu,2020-2022
2020-10-25,0,North District,netanyahu,2020-2022
2020-11-01,0,North District,netanyahu,2020-2022
2020-11-08,0,North District,netanyahu,2020-2022
2020-11-15,0,North District,netanyahu,2020-2022
2020-11-22,0,North District,netanyahu,2020-2022
2020-11-29,0,North District,netanyahu,2020-2022
2020-12-06,0,North District,netanyahu,2020-2022
2020-12-13,0,North District,netanyahu,2020-2022
2020-12-20,0,North District,netanyahu,2020-2022
2020-12-27,0,North District,netanyahu,2020-2022
2021-01-03,0,North District,netanyahu,2020-2022
2021-01-10,0,North District,netanyahu,2020-2022
2021-01-17,0,North District,netanyahu,2020-2022
2021-01-24,0,North District,netanyahu,2020-2022
2021-01-31,0,North District,netanyahu,2020-2022
2021-02-07,0,North District,netanyahu,2020-2022
2021-02-14,0,North District,netanyahu,2020-2022
2021-02-21,0,North District,netanyahu,2020-2022
2021-02-28,0,North District,netanyahu,2020-2022
2021-03-07,0,North District,netanyahu,2020-2022
2021-03-14,0,North District,netanyahu,2020-2022
2021-03-21,86,North District,netanyahu,2020-2022
2021-03-28,0,North District,netanyahu,2020-2022
2021-04-04,0,North District,netanyahu,2020-2022
2021-04-11,0,North District,netanyahu,2020-2022
2021-04-18,0,North District,netanyahu,2020-2022
2021-04-25,0,North District,netanyahu,2020-2022
2021-05-02,0,North District,netanyahu,2020-2022
2021-05-09,0,North District,netanyahu,2020-2022
2021-05-16,0,North District,netanyahu,2020-2022
2021-05-23,0,North District,netanyahu,2020-2022
2021-05-30,0,North District,netanyahu,2020-2022
2021-06-06,0,North District,netanyahu,2020-2022
2021-06-13,100,North District,netanyahu,2020-2022
2021-06-20,0,North District,netanyahu,2020-2022
2021-06-27,0,North District,netanyahu,2020-2022
2021-07-04,0,North District,netanyahu,2020-2022
2021-07-11,0,North District,netanyahu,2020-2022
2021-07-18,0,North District,netanyahu,2020-2022
2021-07-25,0,North District,netanyahu,2020-2022
2021-08-01,0,North District,netanyahu,2020-2022
2021-08-08,0,North District,netanyahu,2020-2022
2021-08-15,0,North District,netanyahu,2020-2022
2021-08-22,0,North District,netanyahu,2020-2022
2021-08-29,0,North District,netanyahu,2020-2022
2021-09-05,0,North District,netanyahu,2020-2022
2021-09-12,0,North District,netanyahu,2020-2022
2021-09-19,0,North District,netanyahu,2020-2022
2021-09-26,0,North District,netanyahu,2020-2022
2021-10-03,0,North District,netanyahu,2020-2022
2021-10-10,0,North District,netanyahu,2020-2022
2021-10-17,0,North District,netanyahu,2020-2022
2021-10-24,0,North District,netanyahu,2020-2022
2021-10-31,0,North District,netanyahu,2020-2022
2021-11-07,0,North District,netanyahu,2020-2022
2021-11-14,0,North District,netanyahu,2020-2022
2021-11-21,0,North District,netanyahu,2020-2022
2021-11-28,0,North District,netanyahu,2020-2022
2021-12-05,0,North District,netanyahu,2020-2022
2021-12-12,0,North District,netanyahu,2020-2022
2021-12-19,0,North District,netanyahu,2020-2022
2021-12-26,0,North District,netanyahu,2020-2022
2022-01-02,0,North District,netanyahu,2020-2022
2022-01-09,0,North District,netanyahu,2020-2022
2022-01-16,0,North District,netanyahu,2020-2022
2022-01-23,0,North District,netanyahu,2020-2022
2022-01-30,0,North District,netanyahu,2020-2022
2022-02-06,0,North District,netanyahu,2020-2022
2022-02-13,0,North District,netanyahu,2020-2022
2022-02-20,0,North District,netanyahu,2020-2022
2022-02-27,0,North District,netanyahu,2020-2022
2022-03-06,0,North District,netanyahu,2020-2022
2022-03-13,0,North District,netanyahu,2020-2022
2022-03-20,0,North District,netanyahu,2020-2022
2022-03-27,0,North District,netanyahu,2020-2022
2022-04-03,0,North District,netanyahu,2020-2022
2022-04-10,0,North District,netanyahu,2020-2022
2022-04-17,0,North District,netanyahu,2020-2022
2022-04-24,0,North District,netanyahu,2020-2022
2022-05-01,0,North District,netanyahu,2020-2022
2022-05-08,0,North District,netanyahu,2020-2022
2022-05-15,0,North District,netanyahu,2020-2022
2022-05-22,0,North District,netanyahu,2020-2022
2022-05-29,0,North District,netanyahu,2020-2022
2022-06-05,0,North District,netanyahu,2020-2022
2022-06-12,0,North District,netanyahu,2020-2022
2022-06-19,0,North District,netanyahu,2020-2022
2022-06-26,0,North District,netanyahu,2020-2022
2022-07-03,0,North District,netanyahu,2020-2022
2022-07-10,0,North District,netanyahu,2020-2022
2022-07-17,0,North District,netanyahu,2020-2022
2022-07-24,0,North District,netanyahu,2020-2022
2022-07-31,0,North District,netanyahu,2020-2022
2022-08-07,0,North District,netanyahu,2020-2022
2022-08-14,71,North District,netanyahu,2020-2022
2022-08-21,0,North District,netanyahu,2020-2022
2022-08-28,0,North District,netanyahu,2020-2022
2022-09-04,0,North District,netanyahu,2020-2022
2022-09-11,0,North District,netanyahu,2020-2022
2022-09-18,0,North District,netanyahu,2020-2022
2022-09-25,0,North District,netanyahu,2020-2022
2022-10-02,0,North District,netanyahu,2020-2022
2022-10-09,0,North District,netanyahu,2020-2022
2022-10-16,0,North District,netanyahu,2020-2022
2022-10-23,0,North District,netanyahu,2020-2022
2022-10-30,71,North District,netanyahu,2020-2022
2022-11-06,0,North District,netanyahu,2020-2022
2022-11-13,0,North District,netanyahu,2020-2022
2022-11-20,0,North District,netanyahu,2020-2022
2022-11-27,0,North District,netanyahu,2020-2022
2022-12-04,0,North District,netanyahu,2020-2022
2022-12-11,0,North District,netanyahu,2020-2022
2022-12-18,0,North District,netanyahu,2020-2022
2022-12-25,0,North District,netanyahu,2020-2022
2013-12-29,0,North District,terrorism,2014-2016
2014-01-05,0,North District,terrorism,2014-2016
2014-01-12,0,North District,terrorism,2014-2016
2014-01-19,0,North District,terrorism,2014-2016
2014-01-26,0,North District,terrorism,2014-2016
2014-02-02,0,North District,terrorism,2014-2016
2014-02-09,0,North District,terrorism,2014-2016
2014-02-16,0,North District,terrorism,2014-2016
2014-02-23,0,North District,terrorism,2014-2016
2014-03-02,0,North District,terrorism,2014-2016
2014-03-09,0,North District,terrorism,2014-2016
2014-03-16,0,North District,terrorism,2014-2016
2014-03-23,0,North District,terrorism,2014-2016
2014-03-30,0,North District,terrorism,2014-2016
2014-04-06,0,North District,terrorism,2014-2016
2014-04-13,0,North District,terrorism,2014-2016
2014-04-20,0,North District,terrorism,2014-2016
2014-04-27,0,North District,terrorism,2014-2016
2014-05-04,0,North District,terrorism,2014-2016
2014-05-11,0,North District,terrorism,2014-2016
2014-05-18,0,North District,terrorism,2014-2016
2014-05-25,0,North District,terrorism,2014-2016
2014-06-01,0,North District,terrorism,2014-2016
2014-06-08,0,North District,terrorism,2014-2016
2014-06-15,0,North District,terrorism,2014-2016
2014-06-22,0,North District,terrorism,2014-2016
2014-06-29,0,North District,terrorism,2014-2016
2014-07-06,0,North District,terrorism,2014-2016
2014-07-13,0,North District,terrorism,2014-2016
2014-07-20,0,North District,terrorism,2014-2016
2014-07-27,0,North District,terrorism,2014-2016
2014-08-03,0,North District,terrorism,2014-2016
2014-08-10,0,North District,terrorism,2014-2016
2014-08-17,0,North District,terrorism,2014-2016
2014-08-24,0,North District,terrorism,2014-2016
2014-08-31,0,North District,terrorism,2014-2016
2014-09-07,0,North District,terrorism,2014-2016
