locality_code,sub_district,type_of_locality,local_authority_cluster,locality_name
0610,43,310,NA,SITRIYYA
0892,24,310,212,AVDON
0376,24,330,212,EVRON
0794,11,310,NA,AGUR
4501,29,290,211,GHAJAR
1199,23,370,213,ADI
2035,42,310,410,ADANIM
0826,61,310,NA,UZA
0528,25,290,214,UZEIR
0737,41,310,NA,OLESH
0666,62,180,NA,OMER
0810,32,310,320,OFER
0032,61,310,NA,OZEM
0957,62,460,NA,
0328,62,370,610,EZUZ
1149,61,350,420,EZER
0837,41,310,410,AZRI'EL
0711,43,310,NA,AZARYA
0817,61,310,420,AZRIQAM
0969,62,460,NA,ATAWNE
3658,74,370,710,ATERET
1175,62,310,610,IDDAN
0530,22,280,214,EILABUN
0156,44,340,NA,AYANOT
0511,25,280,213,ILUT
0687,32,310,320,EN AYYALA
0546,21,450,211,EIN AL-ASAD
0273,22,330,214,EN GEV
2042,62,330,NA,EN GEDI
0436,23,330,213,EN DOR
1240,62,310,620,EN HABESOR
0074,32,370,320,EN HOD
0167,41,330,NA,
0289,24,330,212,EN HAMIFRAZ
0383,23,330,214,EN HANAZIV
0367,23,350,213,EN HAEMEQ
0270,23,330,213,EN HASHOFET
0676,62,330,620,
0157,41,310,410,EN WERED
4503,29,330,211,EN ZIWAN
1320,32,450,320,EIN HOD
1053,62,320,NA,EN HAZEVA
0089,23,330,213,
0082,23,330,213,
0806,62,310,610,EN YAHAV
0813,24,310,212,EN YA'AQOV
1056,11,510,NA,
0426,32,330,320,EN KARMEL
0532,25,270,213,EIN MAHEL
0521,11,290,NA,EIN NAQQUBA
0223,32,310,320,EN IRON
0622,61,330,NA,EN ZURIM
4502,29,290,211,EIN QINIYYE
0514,11,450,NA,EIN RAFA
0139,32,330,320,EN SHEMER
0880,41,350,410,EN SARID
1251,62,310,NA,EN TAMAR
0871,42,330,410,ENAT
1187,62,510,610,IR OVOT
7600,24,150,212,AKKO
1146,62,330,620,ALUMIM
3765,72,190,710,ELI
3727,73,180,710,ALE ZAHAV
0688,21,310,211,ALMA
3715,74,370,710,ALMON
1212,21,370,211,AMUQQA
3824,74,370,710,AMMIHAY
0779,11,310,NA,AMMINADAV
0385,21,330,211,AMMI'AD
0318,62,310,620,AMMI'OZ
0773,32,310,320,AMMIQAM
0319,21,330,211,AMIR
3660,73,180,710,IMMANU'EL
0708,24,310,212,AMQA
3712,73,370,710,ENAV
0534,31,270,310,ISIFYA
7700,23,150,213,AFULA
3617,74,190,710,OFRA
0917,24,370,210,
0531,24,260,NA,ARRABE
1246,24,450,212,ARAMSHA
1335,24,450,210,ARAB AL NAIM
2560,62,160,610,ARAD
0593,61,310,420,ARUGOT
0637,32,260,NA,AR'ARA
1192,62,260,610,
3861,77,510,710,ASA'EL
0591,44,350,NA,ASERET
0053,32,170,320,ATLIT
3748,77,370,710,OTNI'EL
1151,62,310,610,PARAN
3768,73,190,710,PEDU'EL
0750,62,310,620,PEDUYIM
0838,43,310,NA,PEDAYA
0537,32,270,320,FUREIDIS
1104,22,350,214,
1105,22,350,214,
1313,22,350,214,PORIYYA ILLIT
0767,41,310,410,PORAT
0749,62,310,620,PATTISH
1185,24,330,210,PELEKH
0597,44,330,NA,PALMAHIM
3723,77,370,710,PENE HEVER
3659,74,190,710,PESAGOT
0535,24,290,212,FASSUTA
2059,62,310,620,
3615,75,310,710,PEZA'EL
0536,24,280,NA,
0281,24,310,212,
7800,32,160,320,HANNA-
0171,41,180,NA,PARDESIYYA
0599,21,330,211,PAROD
2053,23,310,213,PERAZON
1231,62,310,620,PERI GAN
7900,42,130,NA,PETAH TIQWA
0839,43,310,NA,PETAHYA
0413,62,330,620,ZE'ELIM
1180,24,370,210,ZVIYYA
1213,24,330,211,ZIV'ON
0465,11,330,NA,ZOVA
1136,62,350,620,ZOHAR
1111,44,510,420,ZOFIYYA
3791,73,190,710,ZUFIM
0198,42,310,410,ZOFIT
1150,62,310,610,ZOFAR
1102,41,350,NA,ZUQI YAM
1262,62,370,610,ZUQIM
1113,11,170,NA,ZUR HADASSA
1345,42,180,410,ZUR YIZHAQ
0276,41,190,410,ZUR MOSHE
1148,42,320,410,ZUR NATAN
0774,24,310,212,ZURI'EL
1221,24,370,210,ZURIT
0613,23,310,213,ZIPPORI
0796,11,310,NA,ZELAFON
0636,23,450,213,SANDALA
0594,43,310,NA,ZAFRIYYA
1079,11,310,NA,ZAFRIRIM
8000,21,160,211,ZEFAT
0612,32,310,320,ZERUFA
0567,11,330,NA,ZOR'A
1234,62,460,NA,QABBO'A
0334,44,330,420,
3557,73,190,710,QEDUMIM
0195,41,160,410,
0392,61,510,420,QEDMA
4025,29,310,211,QIDMAT ZEVI
3781,76,370,NA,QEDAR
0615,44,310,420,QIDRON
1211,21,330,211,QADDARIM
0964,62,460,NA,
0972,62,460,NA,QAWA'IN
0766,61,310,NA,QOMEMIYYUT
1179,24,370,210,QORANIT
1052,62,330,610,QETURA
1167,32,180,320,QESARYYA
0414,62,310,620,QELAHIM
3601,75,330,710,QALYA
0638,41,260,410,QALANSAWE
4024,29,370,211,QELA
1243,32,190,320,QAZIR
1347,62,290,610,QASR A-SIR
4100,29,180,211,QAZRIN
2620,52,160,NA,QIRYAT ONO
3611,77,180,710,QIRYAT ARBA
6800,31,150,310,QIRYAT ATTA
9500,31,160,310,QIRYAT BIALIK
2630,61,150,NA,QIRYAT GAT
2300,31,170,310,
9600,31,160,310,QIRYAT YAM
1137,11,180,NA,
2039,11,340,NA,YE'ARIM
8200,31,150,310,
1034,61,160,420,
3746,73,370,710,
0078,11,330,NA,
0469,44,170,420,
0412,41,340,NA,
2800,21,160,211,
3640,73,170,710,
4006,29,320,211,QESHET
0543,24,280,210,RAME
1334,24,450,210,RAS AL-EIN
0990,31,450,310,RAS ALI
2640,42,150,NA,ROSH HAAYIN
0026,21,190,211,ROSH PINNA
3602,76,330,NA,ROSH ZURIM
8300,44,130,NA,
3795,72,190,710,REVAVA
0564,61,330,420,REVADIM
0354,62,330,610,REVIVIM
1225,22,330,214,RAVID
0390,24,320,212,REGBA
0444,32,330,320,REGAVIM
1161,62,250,620,RAHAT
2051,61,310,NA,REWAHA
2016,23,310,214,REWAYA
1341,62,340,610,RUAH MIDBAR
0362,61,330,620,RUHAMA
0539,25,450,214,RUMMANE
0997,25,290,214,RUMAT HEIB
3619,75,310,710,RO'I
3782,75,370,710,ROTEM
0854,23,310,214,REHOV
8400,44,140,NA,REHOVOT
3822,72,370,710,REHELIM
0540,21,450,211,REIHANIYYE
3568,71,320,710,REHAN
0542,25,260,213,REINE
3565,74,370,710,RIMMONIM
0616,42,310,NA,RINNATYA
0922,31,170,310,REKHASIM
1069,23,310,213,RAM-ON
4702,29,310,211,RAMOT
0206,42,350,410,
0735,43,310,NA,RAMOT ME'IR
0445,23,330,213,
0372,21,310,211,
8500,43,150,NA,RAMLA
8600,52,140,NA,RAMAT GAN
0135,23,330,213,RAMAT DAWID
0184,42,330,410,
4029,29,370,211,TRUMP
0335,23,330,213,
2650,51,160,NA,
0178,31,330,310,
0122,23,180,213,
4701,29,320,211,
0339,23,310,213,RAMAT ZEVI
0460,11,310,NA,
0127,11,330,NA,RAMAT RAHEL
0789,62,310,620,RANNEN
0713,62,330,620,RE'IM
8700,42,150,410,RA'ANNANA
1228,24,370,210,RAQQEFET
0247,41,310,NA,RISHPON
0437,23,330,214,RESHAFIM
1260,62,320,610,RETAMIM
0324,21,310,211,
1377,62,310,620,
0282,24,320,212,
3571,72,370,710,
0913,23,280,214,
1286,62,270,610,
0721,22,310,214,SEDE ILAN
0304,23,330,214,
0861,21,310,211,
0885,62,330,610,SEDE BOQER
0036,61,310,NA,SEDE DAWID
0284,42,310,410,
0293,61,330,420,SEDE YO'AV
0142,23,310,213,
2008,32,310,320,SEDE YIZHAQ
0018,61,310,NA,SEDE MOSHE
0259,23,330,214,SEDE NAHUM
0329,21,330,211,
1058,62,310,620,SEDE NIZZAN
0739,61,310,420,
2049,62,310,620,SEDE ZEVI
0327,32,330,320,SEDOT YAM
0027,11,310,NA,SEDOT MIKHA
1223,62,310,620,
2015,42,310,410,SEDE HEMED
2057,23,310,214,
0555,44,310,NA,SHEDEMA
0306,22,310,214,
3578,75,320,710,
1031,61,160,620,SEDEROT
0741,11,310,NA,SHO'EVA
0761,62,310,620,SHUVA
0394,62,330,620,SHOVAL
1304,43,160,NA,SHOHAM
0614,24,310,212,SHOMERA
1265,62,330,620,SHOMERIYYA
0415,62,310,620,SHOQEDA
0456,11,320,NA,SHORESH
1235,24,320,210,SHORASHIM
0224,41,350,NA,
0527,24,310,211,SHEZOR
0007,61,310,NA,SHAHAR
1266,62,370,610,SHAHARUT
3868,73,510,710,SHAHARIT
0865,62,310,620,SHIBBOLIM
1378,62,370,610,SHEZAF
1267,62,510,610,SHITTIM
0658,24,290,212,
3641,74,180,710,SHILO
1165,43,310,NA,SHILAT
1160,24,370,210,SHEKHANYA
0873,61,310,NA,SHALWA
1373,62,510,610,
0439,23,330,214,SHELUHOT
0812,24,180,212,SHELOMI
1364,62,370,620,SHLOMIT
0366,21,330,211,SHAMIR
3784,77,370,710,SHIM'A
0432,24,330,212,SHAMERAT
1337,23,190,213,SHIMSHIT
1287,62,370,NA,SHANI
1132,21,330,211,SENIR
0538,24,280,NA,SHA'AB
4009,29,310,211,SHA'AL
0856,43,330,NA,SHA'ALVIM
0661,41,191,410,
0264,22,330,214,
0237,31,330,310,
0921,32,340,320,
3826,73,180,710,
0232,41,330,NA,SHEFAYIM
0692,61,310,NA,SHAFIR
0846,21,310,211,SHEFER
8800,24,260,310,SHEFAR'AM
3649,71,370,710,SHAQED
1233,61,310,NA,SHEQEF
0292,22,310,214,SHARONA
1114,11,350,NA,
0126,23,330,213,SARID
0398,62,310,620,SHARSHERET
1045,24,310,212,SHETULA
0763,61,191,420,SHETULIM
2062,62,310,620,TE'ASHUR
2061,62,310,620,TIDHAR
1172,24,330,210,TUVAL
3558,75,310,710,TOMER
1083,62,350,620,TUSHIYYA
0163,61,320,420,TIMMORIM
0010,11,310,NA,TIROSH
5000,51,130,NA,
0084,23,330,213,TEL YOSEF
0287,41,330,NA,TEL YIZHAQ
0154,41,170,410,TEL MOND
0103,23,310,213,TEL ADASHIM
3815,74,180,710,TEL TSIYON
0719,22,330,214,TEL QAZIR
1054,62,260,610,TEL SHEVA
1283,23,370,214,TEL TE'OMIM
3719,77,320,710,TELEM
1051,62,310,620,
2003,32,310,320,
2050,62,310,620,TALME BILU
1237,62,310,620,TALME YOSEF
0727,61,310,420,
0744,61,320,620,TALME YAFE
0814,61,310,NA,TELAMIM
1244,23,370,213,TIMRAT
2002,41,310,410,TENUVOT
0752,11,310,NA,TA'OZ
0709,62,191,620,TIFRAH
0665,62,310,620,TEQUMA
3563,76,190,NA,TEQOA
1346,62,450,610,
0970,62,460,NA,
0778,11,310,NA,TARUM
