"","location"
"856","ינון+Israel"
"857","יסוד+המעלה+Israel"
"858","יסודות+Israel"
"859","יסעור+Israel"
"860","יעבד+Israel"
"861","יעד+Israel"
"862","יעל+Israel"
"863","יעף+Israel"
"864","יערה+Israel"
"865","יערות+הכרמל+Israel"
"866","יפיע+Israel"
"867","יפית+Israel"
"868","יפעת+Israel"
"869","יפתח+Israel"
"870","יצהר+Israel"
"871","יציץ+Israel"
"872","יקום+Israel"
"873","יקיר+Israel"
"874","יראון+Israel"
"875","ירדנה+Israel"
"876","ירוחם+Israel"
"877","ירושלים+Israel"
"878","ירושלים+-+אזור+תעשייה+עטרות+Israel"
"879","ירושלים+-+דרום+Israel"
"880","ירושלים+-+כפר+עקב+Israel"
"881","ירושלים+-+מזרח+Israel"
"882","ירושלים+-+מערב+Israel"
"883","ירושלים+-+מרכז+Israel"
"884","ירושלים+-+צפון+Israel"
"885","ירושלים+-+צפון+ואלונים+Israel"
"886","ירחיב+Israel"
"887","יריחו+Israel"
"888","ירכא+Israel"
"889","ירקונה+Israel"
"890","ישובי+אומן+Israel"
"891","ישובי+יעל+Israel"
"892","ישע+Israel"
"893","ישעי+Israel"
"894","ישרש+Israel"
"895","יתד+Israel"
"896","יתמא+Israel"
"897","כאבול+Israel"
"898","כאוכב+אבו+אל-היג'א+Israel"
"899","כברי+Israel"
"900","כדורי+Israel"
"901","כובר+Israel"
"902","כוויזבא+Israel"
"903","כוחלה+Israel"
"904","כוחלה+מכחול+Israel"
"905","כוכב+השחר+Israel"
"906","כוכב+יאיר+Israel"
"907","כוכב+יאיר+-+צור+יגאל+Israel"
"908","כוכב+יעקב+Israel"
"909","כוכב+מיכאל+Israel"
"910","כופיראת+Israel"
"911","כור+Israel"
"912","כורזים+Israel"
"913","כורזים+ורד+הגליל+Israel"
"914","כחל+Israel"
"915","כינרת+מושבה+Israel"
"916","כינרת+קבוצה+Israel"
"917","כיסופים+Israel"
"918","כיסרא+סומיע+Israel"
"919","כיסרא+סמיע+Israel"
"920","כיפל+חארת+Israel"
"921","כישור+Israel"
"922","כלא+דמון+Israel"
"923","כליל+Israel"
"924","כלנית+Israel"
"925","כמאנה+Israel"
"926","כמהין+Israel"
"927","כמון+Israel"
"928","כנות+Israel"
"929","כנף+Israel"
"930","כסייפה+Israel"
"931","כסייפה+והפזורה+Israel"
"932","כסיפה+Israel"
"933","כסלון+Israel"
"934","כעאבנה+Israel"
"935","כעביה+Israel"
"936","כעביה+טבאש+Israel"
"937","כעביה-טבאש-חג'אג'רה+Israel"
"938","כפר+אביב+Israel"
"939","כפר+אדומים+Israel"
"940","כפר+א+דיכ+Israel"
"941","כפר+אוריה+Israel"
"942","כפר+אז”ר+Israel"
"943","כפר+אחים+Israel"
"944","כפר+אלדד+Israel"
"945","כפר+ביאליק+Israel"
"946","כפר+ביל""ו+Israel"
"947","כפר+בלום+Israel"
"948","כפר+בן+נון+Israel"
"949","כפר+ברא+Israel"
"950","כפר+ברוך+Israel"
"951","כפר+גדעון+Israel"
"952","כפר+גלים+Israel"
"953","כפר+גליקסון+Israel"
"954","כפר+גלעדי+Israel"
"955","כפר+ג’מאל+Israel"
"956","כפר+דאן+Israel"
"957","כפר+דניאל+Israel"
"958","כפר+האורנים+Israel"
"959","כפר+הארנים+Israel"
"960","כפר+החורש+Israel"
"961","כפר+המכבי+Israel"
"962","כפר+הנגיד+Israel"
"963","כפר+הנוער+הדתי+Israel"
"964","כפר+הנוער+ימין+אורד+Israel"
"965","כפר+הנשיא+Israel"
"966","כפר+הס+Israel"
"967","כפר+הרא""ה+Israel"
"968","כפר+הרי""ף+Israel"
"969","כפר+הרי''ף+וצומת+ראם+Israel"
"970","כפר+ויתקין+Israel"
"971","כפר+ורבורג+Israel"
"972","כפר+ורדים+Israel"
"973","כפר+זוהרים+Israel"
"974","כפר+זיבאד+Israel"
"975","כפר+זיתים+Israel"
"976","כפר+חב""ד+Israel"
"977","כפר+חיטים+Israel"
"978","כפר+חיים+Israel"
"979","כפר+חנניה+Israel"
"980","כפר+חסידים+א'+Israel"
"981","כפר+חסידים+ב'+Israel"
"982","כפר+חרוב+Israel"
"983","כפר+טבאש+Israel"
"984","כפר+טרומן+Israel"
"985","כפר+יאסיף+Israel"
"986","כפר+ידידיה+Israel"
"987","כפר+יהושע+Israel"
"988","כפר+יובל+Israel"
"989","כפר+יונה+Israel"
"990","כפר+יחזקאל+Israel"
"991","כפר+יעבץ+Israel"
"992","כפר+כמא+Israel"
"993","כפר+כנא+Israel"
"994","כפר+לאקף+Israel"
"995","כפר+מאליכ+Israel"
"996","כפר+מונש+Israel"
"997","כפר+מימון+Israel"
"998","כפר+מימון+ותושיה+Israel"
"999","כפר+מיסר+Israel"
"1000","כפר+מל""ל+Israel"
"1001","כפר+מנדא+Israel"
"1002","כפר+מנחם+Israel"
"1003","כפר+מסריק+Israel"
"1004","כפר+מרדכי+Israel"
"1005","כפר+נהר+הירדן+Israel"
"1006","כפר+נוער+בן+שמן+Israel"
"1007","כפר+נוער+עדנים+Israel"
"1008","כפר+נחום+Israel"
"1009","כפר+נטר+Israel"
"1010","כפר+ניעמה+Israel"
"1011","כפר+סאלד+Israel"
"1012","כפר+סבא+Israel"
"1013","כפר+סור+Israel"
"1014","כפר+סילבר+Israel"
"1015","כפר+סירקין+Israel"
"1016","כפר+עבודה+Israel"
"1017","כפר+עבוש+Israel"
"1018","כפר+עזה+Israel"
"1019","כפר+עין+Israel"
"1020","כפר+עציון+Israel"
"1021","כפר+עקב+Israel"
"1022","כפר+פינס+Israel"
"1023","כפר+קאסם+Israel"
"1024","כפר+קדום+Israel"
"1025","כפר+קוד+Israel"
"1026","כפר+קיש+Israel"
"1027","כפר+קליל+Israel"
"1028","כפר+קרע+Israel"
"1029","כפר+ראש+הנקרה+Israel"
"1030","כפר+רופין+Israel"
"1031","כפר+רות+Israel"
"1032","כפר+שמאי+Israel"
"1033","כפר+שמואל+Israel"
"1034","כפר+שמריהו+Israel"
"1035","כפר+תבור+Israel"
"1036","כפר+ת’ולת+Israel"
"1037","כפר+תפוח+Israel"
"1038","כפר+תקווה+Israel"
"1039","כרזה+Israel"
"1040","כרי+דשא+Israel"
"1041","כרכום+Israel"
"1042","כרכור+Israel"
"1043","כרם+ביבנה+Israel"
"1044","כרם+בן+זמרה+Israel"
"1045","כרם+בן+שמן+Israel"
"1046","כרמיאל+Israel"
"1047","כרם+יבנה+Israel"
"1048","+כרמי+גת+Israel"
"1049","כרמיה+Israel"
"1050","כרמי+יוסף+Israel"
"1051","כרמיל+Israel"
"1052","כרמים+Israel"
"1053","כרמי+צור+Israel"
"1054","כרמי+קטיף+Israel"
"1055","כרמית+Israel"
"1056","כרמל+Israel"
"1057","כרם+מהר""ל+Israel"
"1058","כרם+עמי+Israel"
"1059","כרם+שלום+Israel"
"1060","לבון+Israel"
"1061","לביא+Israel"
"1062","לב+יתיר+Israel"
"1063","לבנים+Israel"
"1064","להב+Israel"
"1065","להבות+הבשן+Israel"
"1066","להבות+חביבה+Israel"
"1067","להבים+Israel"
"1068","לובאן+שרקיה+Israel"
"1069","לוד+Israel"
"1070","לוזית+Israel"
"1071","לוחמי+הגיטאות+Israel"
"1072","לוטם+Israel"
"1073","לוטן+Israel"
"1074","לטרון+Israel"
"1075","לימן+Israel"
"1076","לכיש+Israel"
"1077","לפיד+Israel"
"1078","לפידות+Israel"
"1079","לקיה+Israel"
"1080","לקיה+והפזורה+Israel"
"1081","מאור+Israel"
"1082","מאיר+שפיה+Israel"
"1083","מבוא+ביתר+Israel"
"1084","מבוא+דותן+Israel"
"1085","מבואות+ים+Israel"
"1086","מבואות+יריחו+Israel"
"1087","מבוא+חורון+Israel"
"1088","מבוא+חמה+Israel"
"1089","מבוא+מודיעים+Israel"
"1090","מבועים+Israel"
"1091","מבחור+Israel"
"1092","מבטחים+Israel"
"1093","מבטחים+עמיעוז+ישע+Israel"
"1094","מבקיעים+Israel"
"1095","מבשרת+ציון+Israel"
"1096","מגאר+Israel"
"1097","מג’ד+Israel"
"1098","מג'ד+אל-כרום+Israel"
"1099","מגדים+Israel"
"1100","מגדל+Israel"
"1101","מגדל+העמק+Israel"
"1102","מגדלים+Israel"
"1103","מגדל+עוז+Israel"
"1104","מג'דל+שמס+Israel"
"1105","מגדל+תפן+Israel"
"1106","מגידו+Israel"
"1107","מגל+Israel"
"1108","מגן+Israel"
"1109","מגן+שאול+Israel"
"1110","מגשימים+Israel"
"1111","מדמא+Israel"
"1112","מדרך+עוז+Israel"
"1113","מדרשת+בן+גוריון+Israel"
"1114","מודיעין+Israel"
"1115","מודיעין+-+ישפרו+סנטר+Israel"
"1116","מודיעין+-+ליגד+סנטר+Israel"
"1117","מודיעין-מכבים-רעות+Israel"
"1118","מודיעין+עילית+Israel"
"1119","מוח’מאס+Israel"
"1120","מולדה+Israel"
"1121","מולדת+Israel"
"1122","מועאוויה+Israel"
"1123","מוע’ייר+Israel"
"1124","מועסכר+אל+ערוב+Israel"
"1125","מועצה+אזורית+אשכול+Israel"
"1126","מועצה+אזורית+דרום+השרון+Israel"
"1127","מוצא+עילית+Israel"
"1128","מוקייבלה+Israel"
"1129","מורן+Israel"
"1130","מורשת+Israel"
"1131","מזאריע+א+נובאני+Israel"
"1132","מזור+Israel"
"1133","מזכרת+בתיה+Israel"
"1134","מזרע+Israel"
"1135","מזרעה+Israel"
"1136","מזרעה+אל+קיבליה+Israel"
"1137","מזרעה+א+שרקיה+Israel"
"1138","מחולה+Israel"
"1139","מחניים+Israel"
"1140","מחסיה+Israel"
"1141","מטווח+ניר+עם+Israel"
"1142","מטולה+Israel"
"1143","מטע+Israel"
"1144","מידיה+Israel"
"1145","מיטב+Israel"
"1146","מייסר+Israel"
"1147","מיניה+Israel"
"1148","מי+עמי+Israel"
"1149","מיצר+Israel"
"1150","מירב+Israel"
"1151","מירון+Israel"
"1152","מישר+Israel"
"1153","מיתר+Israel"
"1154","מכורה+Israel"
"1155","מכחול+Israel"
"1156","מכללת+ספיר+Israel"
"1157","מכמורת+Israel"
"1158","מכמנים+Israel"
"1159","מלאה+Israel"
"1160","מלילות+Israel"
"1161","מלכיה+Israel"
"1162","מלכישוע+Israel"
"1163","ממשית+Israel"
"1164","מנוחה+Israel"
"1165","מנוף+Israel"
"1166","מנות+Israel"
"1167","מנזר+לטרון+Israel"
"1168","מנחמיה+Israel"
"1169","מנחת+מחניים+Israel"
"1170","מנסורה+Israel"
"1171","מנרה+Israel"
"1172","מנשיה+Israel"
"1173","מנשית+זבדה+Israel"
"1174","מסד+Israel"
"1175","מסדה+Israel"
"1176","מסחה+Israel"
"1177","מסילות+Israel"
"1178","מסילת+ציון+Israel"
"1179","מסלול+Israel"
"1180","מסעדה+Israel"
"1181","מסעודין+אל-עזאזמה+Israel"
"1182","מעברות+Israel"
"1183","מעגלים+Israel"
"1184","מעגלים+גבעולים+מלילות+Israel"
"1185","מעגן+Israel"
"1186","מעגן+מיכאל+Israel"
"1187","מעוז+חיים+Israel"
"1188","מעון+Israel"
"1189","מעונה+Israel"
"1190","מעון+צופיה+Israel"
"1191","מעיין+ברוך+Israel"
"1192","מעיין+צבי+Israel"
"1193","מעיליא+Israel"
"1194","מעין+Israel"
"1195","מעלה+אדומים+Israel"
"1196","מעלה+אפרים+Israel"
"1197","מעלה+גלבוע+Israel"
"1198","מעלה+גמלא+Israel"
"1199","מעלה+החמישה+Israel"
"1200","מעלה+לבונה+Israel"
"1201","מעלה+מכמש+Israel"
"1202","מעלה+עירון+Israel"
"1203","מעלה+עמוס+Israel"
"1204","מעלה+שביט+Israel"
"1205","מעלה+שומרון+Israel"
"1206","מעלות-תרשיחא+Israel"
"1207","מענית+Israel"
"1208","מעסרה+Israel"
"1209","מעש+Israel"
"1210","מפלסים+Israel"
"1211","מפעלי+אבשלום+Israel"
"1212","מפעלי+גלבוע+Israel"
"1213","מפעלי+מעון+Israel"
"1214","מפעלי+שאן+Israel"
"1215","מצדה+Israel"
"1216","מצדות+יהודה+Israel"
"1217","מצד+שמעון+Israel"
"1218","מצובה+Israel"
"1219","מצוקי+דרגות+Israel"
"1220","מצליח+Israel"
"1221","מצפה+Israel"
"1222","מצפה+אבי""ב+Israel"
"1223","מצפה+אילן+Israel"
"1224","מצפה+יריחו+Israel"
"1225","מצפה+נטופה+Israel"
"1226","מצפה+רמון+Israel"
"1227","מצפה+שלם+Israel"
"1228","מצר+Israel"
"1229","מקווה+ישראל+Israel"
"1230","מראח+אל+בקר+Israel"
"1231","מראח+רבאח+Israel"
"1232","מרגליות+Israel"
"1233","מרג’+נעג’ה+Israel"
"1234","מרדה+Israel"
"1235","מרום+גולן+Israel"
"1236","מרחביה+(מושב)+Israel"
"1237","מרחביה+(קיבוץ)+Israel"
"1238","מרחב+עם+Israel"
"1239","מרינה+Israel"
"1240","מרכז+אזורי+דרום+השרון+Israel"
"1241","מרכז+אזורי+מבואות+חרמון+Israel"
"1242","מרכז+אזורי+מישגב+Israel"
"1243","מרכז+אזורי+מרום+גליל+Israel"
"1244","מרכז+אזורי+מרום+הגליל+Israel"
"1245","מרכז+אזורי+משגב+Israel"
"1246","מרכז+הנגב+Israel"
"1247","+מרכז+ומערב+Israel"
"1248","מרכז+חבר+Israel"
"1249","מרכז+ימי+קיסריה+Israel"
"1250","מרכז+כ”ח+Israel"
"1251","מרכז+מיר”ב+Israel"
"1252","מרכז+קניות+ביל”ו+Israel"
"1253","מרכז+שוהם+Israel"
"1254","מרכז+שפירא+Israel"
"1255","מרעית+Israel"
"1256","משאבי+שדה+Israel"
"1257","משגב+דב+Israel"
"1258","משגב+עם+Israel"
"1259","משהד+Israel"
"1260","משואה+Israel"
"1261","משואות+יצחק+Israel"
"1262","משכיות+Israel"
"1263","משמר+איילון+Israel"
"1264","משמר+דוד+Israel"
"1265","משמר+הירדן+Israel"
"1266","משמר+הנגב+Israel"
"1267","משמר+העמק+Israel"
"1268","משמר+השבעה+Israel"
"1269","משמר+השרון+Israel"
"1270","משמרות+Israel"
"1271","משמרת+Israel"
"1272","משען+Israel"
"1273","מתחם+בני+דרום+Israel"
"1274","מתחם+פי+גלילות+Israel"
"1275","מתחם+צומת+שוקת+Israel"
"1276","מתן+Israel"
"1277","מתת+Israel"
"1278","מתתיהו+Israel"
"1279","נאות+גולן+Israel"
"1280","נאות+הכיכר+Israel"
"1281","נאות+מרדכי+Israel"
"1282","נאות+סמדר+Israel"
"1283","נאעורה+Israel"
"1284","נאקורה+Israel"
"1285","נבטים+Israel"
"1286","נבי+סאלח+Israel"
"1287","נבי+סמואל+Israel"
"1288","נגבה+Israel"
"1289","נגוהות+Israel"
"1290","נהורה+Israel"
"1291","נהלל+Israel"
"1292","נהריה+Israel"
"1293","נוב+Israel"
"1294","נובא+Israel"
"1295","נוגה+Israel"
"1296","נווה+Israel"
"1297","נווה+אבות+Israel"
"1298","נווה+אור+Israel"
"1299","נווה+אטי""ב+Israel"
"1300","נווה+אילן+Israel"
"1301","נווה+איתן+Israel"
"1302","נווה+אפעל+Israel"
"1303","נווה+דניאל+Israel"
"1304","נווה+הרצוג+Israel"
"1305","נווה+זוהר+Israel"
"1306","נווה+זיו+Israel"
"1307","נווה+חריף+Israel"
"1308","נווה+ים+Israel"
"1309","נווה+ימין+Israel"
"1310","נווה+יער+Israel"
"1311","נווה+ירק+Israel"
"1312","נווה+מבטח+Israel"
"1313","נווה+מיכאל+Israel"
"1314","נווה+מיכאל+-+רוגלית+Israel"
"1315","נווה+שלום+Israel"
"1316","נועימה+Israel"
"1317","נועימה+מחנה+פליטים+Israel"
"1318","נועם+Israel"
"1319","נוף+איילון+Israel"
"1320","נוף+הגליל+Israel"
"1321","נופים+Israel"
"1322","נופי+פרת+Israel"
"1323","נופית+Israel"
"1324","נופך+Israel"
"1325","נוקדים+Israel"
"1326","נורדיה+Israel"
"1327","נורית+Israel"
"1328","נזלה+א+שרקיה+Israel"
"1329","נזלת+זיד+Israel"
"1330","נזלת+עיסא+Israel"
"1331","נחאלין+Israel"
"1332","נחושה+Israel"
"1333","נח”ל+אלישע+Israel"
"1334","נחלה+Israel"
"1335","נחליאל+Israel"
"1336","נחלים+Israel"
"1337","נחל+עוז+Israel"
"1338","נחם+Israel"
"1339","נחף+Israel"
"1340","נחשולים+Israel"
"1341","נחשון+Israel"
"1342","נחשונים+Israel"
"1343","נטועה+Israel"
"1344","נטור+Israel"
"1345","נטע+Israel"
"1346","נטעים+Israel"
"1347","נטף+Israel"
"1348","ניל""י+Israel"
"1349","נין+Israel"
"1350","ניעלין+Israel"
"1351","ניצן+Israel"
"1352","ניצן+ב'+Israel"
"1353","ניצנה+Israel"
"1354","ניצנה+כפר+נוער+Israel"
"1355","ניצנים+Israel"
"1356","ניצני+סיני+Israel"
"1357","ניצני+עוז+Israel"
"1358","ניר+אליהו+Israel"
"1359","ניר+בנים+Israel"
"1360","ניר+גלים+Israel"
"1361","ניר+דוד+Israel"
"1362","ניר+ח""ן+Israel"
"1363","נירים+Israel"
"1364","ניר+יפה+Israel"
"1365","ניר+יצחק+Israel"
"1366","ניר+ישראל+Israel"
"1367","נירית+Israel"
"1368","ניר+משה+Israel"
"1369","נירן+Israel"
"1370","ניר+עוז+Israel"
"1371","ניר+עם+Israel"
"1372","ניר+עציון+Israel"
"1373","ניר+עקיבא+Israel"
"1374","ניר+צבי+Israel"
"1375","נמרוד+Israel"
"1376","נס+הרים+Israel"
"1377","נס+עמים+Israel"
"1378","נס+ציונה+Israel"
"1379","נעורה+Israel"
"1380","נעורים+Israel"
"1381","נעלה+Israel"
"1382","נעמי+Israel"
"1383","נען+Israel"
"1384","נצאצרה+Israel"
"1385","נצר+חזני+Israel"
"1386","נצר+סרני+Israel"
"1387","נצרת+Israel"
"1388","נצרת+עילית+Israel"
"1389","נשר+Israel"
"1390","נתיב+הגדוד+Israel"
"1391","נתיב+הל""ה+Israel"
"1392","נתיב+העשרה+Israel"
"1393","נתיב+השיירה+Israel"
"1394","נתיבות+Israel"
"1395","נתניה+Israel"
"1396","נתניה+-+מזרח+Israel"
"1397","נתניה+-+מערב+Israel"
"1398","סאג'ור+Israel"
"1399","סאוויה+Israel"
"1400","סאלם+Israel"
"1401","סאסא+Israel"
"1402","סביון+Israel"
"1403","סבסטיה+Israel"
"1404","סגולה+Israel"
"1405","סואעד+Israel"
"1406","סואעד+חמירה+Israel"
"1407","סובא+Israel"
"1408","סולם+Israel"
"1409","סולם+שונם+Israel"
"1410","סוסיה+Israel"
"1411","סופה+Israel"
"1412","סורדה+Israel"
"1413","סוריף+Israel"
"1414","סח'נין+Israel"
"1415","סיט+Israel"
"1416","סילואד+Israel"
"1417","סילת+אל+ח’רית’יה+Israel"
"1418","סימיא+Israel"
"1419","סינג’יל+Israel"
"1420","סינמה+סיטי+גלילות+Israel"
"1421","סיעיר+Israel"
"1422","סלמה+Israel"
"1423","סלעית+Israel"
"1424","סלפית+Israel"
"1425","סמוע+Israel"
"1426","סמר+Israel"
"1427","סניריא+Israel"
"1428","סנסנה+Israel"
"1429","סעד+Israel"
"1430","סעייה-מולדה+Israel"
"1431","סער+Israel"
"1432","ספא+Israel"
"1433","ספארין+Israel"
"1434","ספיר+Israel"
"1435","ספסופה+-+כפר+חושן+Israel"
"1436","סרה+Israel"
"1437","סרטא+Israel"
"1438","סרכיס+Israel"
"1439","סתריה+Israel"
"1440","עאבוד+Israel"
"1441","עאטוף+Israel"
"1442","עאנין+Israel"
"1443","עבדאללה+איברהים+Israel"
"1444","עבדה+Israel"
"1445","עבדון+Israel"
"1446","עבווין+Israel"
"1447","עברון+Israel"
"1448","עג’ול+Israel"
"1449","עגור+Israel"
"1450","ע'ג'ר+Israel"
"1451","עד+הלום+Israel"
"1452","עדי+Israel"
"1453","עדנים+Israel"
"1454","עובידייה+Israel"
"1455","עוג’א+אתחתא+Israel"
"1456","עווד+Israel"
"1457","עוורתא+Israel"
"1458","עוזה+Israel"
"1459","עוזיז+Israel"
"1460","עוזייר+Israel"
"1461","עוטף+עזה+216+Israel"
"1462","עולש+Israel"
"1463","עומר+Israel"
"1464","עוסארין+Israel"
"1465","עופר+Israel"
"1466","עופרים+Israel"
"1467","עוצם+Israel"
"1468","עוקבי+Israel"
"1469","עוריף+Israel"
"1470","עזאזמה+Israel"
"1471","עזאזמה+דרומית+לרמת+חובב+Israel"
"1472","עזאזמה+דרומית+לשגב+שלום+Israel"
"1473","עזאזמה+מזרחית+לרמת+חובב+Israel"
"1474","עזוז+Israel"
"1475","עזון+Israel"
"1476","עזון+עתמה+Israel"
"1477","עזמוט+Israel"
"1478","עזר+Israel"
"1479","עזריאל+Israel"
"1480","עזריה+Israel"
"1481","עזריקם+Israel"
"1482","עטארה+ליד+ביר+זית+Israel"
"1483","עטרת+Israel"
"1484","עידן+Israel"
"1485","עיזרייה+Israel"
"1486","עיילבון+Israel"
"1487","עיינות+Israel"
"1488","עילוט+Israel"
"1489","עילת+עלי+Israel"
"1490","עינאבוס+Israel"
"1491","עין+איוב+Israel"
"1492","עין+איילה+Israel"
"1493","עין+אל-אסד+Israel"
"1494","עין+אל+מטווי+Israel"
"1495","עין+אל-סהלה+Israel"
"1496","עין+א+סולטאן+מחנה+פליטים+Israel"
"1497","עין+בוקק+Israel"
"1498","עינבר+Israel"
"1499","עין+גב+Israel"
"1500","עין+גדי+Israel"
"1501","עין+דור+Israel"
"1502","עין+הבשור+Israel"
"1503","עין+הוד+Israel"
"1504","עין+החורש+Israel"
"1505","עין+המפרץ+Israel"
"1506","עין+הנצי""ב+Israel"
"1507","עין+העמק+Israel"
"1508","עין+השופט+Israel"
"1509","עין+השלושה+Israel"
"1510","עין+ורד+Israel"
"1511","עין+זיוון+Israel"
"1512","עין+חוד+Israel"
"1513","עין+חצבה+Israel"
"1514","עין+חרוד+(איחוד)+Israel"
"1515","עין+חרוד+(מאוחד)+Israel"
"1516","עין+יאנון+Israel"
"1517","עין+יברוד+Israel"
"1518","עין+יהב+Israel"
"1519","עין+יעקב+Israel"
"1520","עין+כמונים+Israel"
"1521","עין+כרמל+Israel"
"1522","עין+מאהל+Israel"
"1523","עין+מע’ר+Israel"
"1524","עין+נקובא+Israel"
"1525","עין+סיניא+Israel"
"1526","עין+עירון+Israel"
"1527","עין+עריכ+Israel"
"1528","עין+צורים+Israel"
"1529","עין+קיניא+Israel"
"1530","עין+קנייא+Israel"
"1531","עין+ראפה+Israel"
"1532","עין+שמר+Israel"
"1533","עין+שריד+Israel"
"1534","עינת+Israel"
"1535","עין+תמר+Israel"
"1536","עיר+אובות+Israel"
"1537","עיראק+בורין+Israel"
"1538","עכו+Israel"
"1539","עכו+-+אזור+תעשייה+Israel"
"1540","עלומים+Israel"
"1541","עלי+Israel"
"1542","עלי+זהב+Israel"
"1543","עלמה+Israel"
"1544","עלמון+Israel"
"1545","עמוקה+Israel"
"1546","עמוריה+Israel"
"1547","עמינדב+Israel"
"1548","עמיעד+Israel"
"1549","עמיעוז+Israel"
"1550","עמיקם+Israel"
"1551","עמיר+Israel"
"1552","עמנואל+Israel"
"1553","עמקה+Israel"
"1554","עמק+הירדן+11+Israel"
"1555","ענאב+אל+כביר+Israel"
"1556","ענאתא+Israel"
"1557","ענב+Israel"
"1558","עסירה+אל+קיבליה+Israel"
"1559","עסכר+Israel"
"1560","עספיא+Israel"
"1561","עפולה+Israel"
"1562","עפרה+Israel"
"1563","עץ+אפרים+Israel"
"1564","עצמון+שגב+Israel"
"1565","עקאבת+ג’בר+מחנה+פליטים+Israel"
"1566","עקרבה+Israel"
"1567","עראבה+Israel"
"1568","עראבה+ליד+ג’נין+Israel"
"1569","עראמשה+Israel"
"1570","ערב+אזונר+Israel"
"1571","ערב+אל+גנאדי+Israel"
"1572","ערב+אל+נעים+Israel"
"1573","ערב+אל+סגיראת+Israel"
"1574","ערב+אל+סמניה+Israel"
"1575","ערב+אל+עיסאת+Israel"
"1576","ערב+אל+עראמשה+Israel"
"1577","ערב+אל+פמאז+Israel"
"1578","ערב+א+שמעה+Israel"
"1579","ערד+Israel"
"1580","ערוגות+Israel"
"1581","ערוער+-+ערערה+בנגב+Israel"
"1582","ערורה+Israel"
"1583","ערערה+Israel"
"1584","ערערה-בנגב+Israel"
"1585","ערקה+Israel"
"1586","עשרת+Israel"
"1587","עתלית+Israel"
"1588","עתניאל+Israel"
"1589","פארן+Israel"
"1590","פארעה+אל+ג’פתלכ+Israel"
"1591","פארק+צרעה+Israel"
"1592","פארק+תעשיות+פלמחים+Israel"
"1593","פארק+תעשייה+ראם+Israel"
"1594","פדואל+Israel"
"1595","פדויים+Israel"
"1596","פדיה+Israel"
"1597","פוקיקיס+Israel"
"1598","פוריה+-+כפר+עבודה+Israel"
"1599","פוריה+-+נווה+עובד+Israel"
"1600","פוריה+עילית+Israel"
"1601","פוריידיס+Israel"
"1602","פורת+Israel"
"1603","פזורה+לקיה+Israel"
"1604","פטיש+Israel"
"1605","פיראסין+Israel"
"1606","פלאמה+Israel"
"1607","פלך+Israel"
"1608","פלמחים+Israel"
"1609","פני+חבר+Israel"
"1610","פנימיית+עין+כרם+Israel"
"1611","פסאיל+Israel"
"1612","פסגות+Israel"
"1613","פסוטה+Israel"
"1614","פעמי+תש""ז+Israel"
"1615","פצאל+Israel"
"1616","פקיעין+Israel"
"1617","פקיעין+חדשה+Israel"
"1618","פרדס+חנה+Israel"
"1619","פרדס+חנה-כרכור+Israel"
"1620","פרדסיה+Israel"
"1621","פרוד+Israel"
"1622","פרוש+בית+דג’ן+Israel"
"1623","פרזון+Israel"
"1624","פרח’ה+Israel"
"1625","פרי+גן+Israel"
"1626","פרעון+Israel"
"1627","פרעתה+Israel"
"1628","פתחיה+Israel"
"1629","פתח+תקווה+Israel"
"1630","צאלים+Israel"
"1631","צביה+Israel"
"1632","צבעון+Israel"
"1633","צובה+Israel"
"1634","צוחר+Israel"
"1635","צוחר+ואוהד+Israel"
"1636","צופיה+Israel"
"1637","צופים+Israel"
"1638","צופין+Israel"
"1639","צופית+Israel"
"1640","צופר+Israel"
"1641","צוקי+ים+Israel"
"1642","צוקים+Israel"
"1643","צור+הדסה+Israel"
"1644","צוריאל+Israel"
"1645","צור+יגאל+Israel"
"1646","צור+יצחק+Israel"
"1647","צורית+Israel"
"1648","צור+משה+Israel"
"1649","צורן+Israel"
"1650","צור+נתן+Israel"
"1651","ציפורי+Israel"
"1652","צלפון+Israel"
"1653","צנדלה+Israel"
"1654","צפריה+Israel"
"1655","צפרירים+Israel"
"1656","צפת+Israel"
"1657","צרופה+Israel"
"1658","צריפין+Israel"
"1659","צרעה+Israel"
"1660","קבועה+Israel"
"1661","קבוצת+גבע+Israel"
"1662","קבוצת+יבנה+Israel"
"1663","קבלאן+Israel"
"1664","קדומים+Israel"
"1665","קדימה+Israel"
"1666","קדימה-צורן+Israel"
"1667","קדיתא+Israel"
"1668","קדמה+Israel"
"1669","קדמת+צבי+Israel"
"1670","קדר+Israel"
"1671","קדרון+Israel"
"1672","קדרים+Israel"
"1673","קובסי+Israel"
"1674","קודייראת+א+צאנה+Israel"
"1675","קוואעין+Israel"
"1676","קוזה+Israel"
"1677","קוממיות+Israel"
"1678","קוסין+Israel"
"1679","קוסרה+Israel"
"1680","קורנית+Israel"
"1681","קטורה+Israel"
"1682","קיבוץ+דן+Israel"
"1683","קיביא+Israel"
"1684","קילקיס+Israel"
"1685","קיסריה+Israel"
"1686","קירה+Israel"
"1687","קלחים+Israel"
"1688","קליה+Israel"
"1689","קלנדיה+Israel"
"1690","קלנסווה+Israel"
"1691","קלע+Israel"
"1692","קלקיליה+Israel"
"1693","קסר+א+סיר+Israel"
"1694","קפין+Israel"
"1695","קציעות+Israel"
"1696","קציר+Israel"
"1697","קציר+חריש+Israel"
